#['../main.py', '--dataset=fashion', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.2', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=ClassificationRobustness', '--seed=1', '--logic=DL2']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.30806328125,0.518777197265625,2.597401953125,2.6630427734375,0.1,0.1,0.1,0.0,0.0,3.6156630516052246
1,1.5532364926095736,-1,2.2567322294590837,0.5550570730435647,3.7011845475536282,0.06685052483768786,0.27752853652178233,0.5,0.4814342886714612,-1,0.4465373411016949,0.7905974609375,0.3754025390625,2.6188513671875,4.126387109375,0.7193,0.7188,0.6939,0.0222,12.504809856414795,3.1198062896728516
2,0.7452203782938295,-1,2.2849214198225636,0.9235004489704713,3.867288621805482,0.12159459873781366,0.46175022448523567,0.5,0.7487144470214844,-1,0.7221927966101694,0.699852685546875,0.304158154296875,2.1642275390625,3.543165625,0.7566,0.7547,0.7317,0.0534,12.428770542144775,3.0354177951812744
3,0.685315018993313,-1,2.0891205092607916,0.9089462797520524,3.7588785462460277,0.12346067266949153,0.4544731398760262,0.5,0.7655422404661016,-1,0.7393626196909759,0.661695263671875,0.29516884765625,1.9592287109375,3.391978125,0.7693,0.7652,0.7461,0.0646,12.494472026824951,3.022702932357788
4,0.6619809684106859,-1,1.9288556373725503,0.9430316343145856,3.6454400531316207,0.13213245747453076,0.4715158171572928,0.5,0.7724002256231793,-1,0.7461710137836004,0.630883642578125,0.2936551025390625,1.948019921875,3.404759765625,0.7748,0.7721,0.7508,0.0745,12.161288261413574,3.040113925933838
5,0.6346240286099709,-1,1.9109021202992584,0.9161439022775424,3.680342852059057,0.1274521067991095,0.4580719511387712,0.5,0.7808803623005495,-1,0.7530510465977556,0.61157236328125,0.2776274169921875,1.8340619140625,3.39669375,0.7813,0.7799,0.7616,0.071,12.672764539718628,2.99229097366333
6,0.6172015949831171,-1,1.8410579875364141,0.898497629973848,3.520622899976827,0.13101104962623725,0.449248814986924,0.5,0.787986626059322,-1,0.7582980010469081,0.6104751953125,0.2829811767578125,1.8017265625,3.300788671875,0.7773,0.7763,0.7538,0.0791,12.243314981460571,3.0655789375305176
7,0.6095499588271319,-1,1.7570628796593617,0.9366299257440082,3.494372868942002,0.13781746363235733,0.4683149628720041,0.5,0.790237685381356,-1,0.7599366398180946,0.587526611328125,0.275664599609375,1.7802837890625,3.4215265625,0.7902,0.7862,0.7623,0.0698,12.386426448822021,3.0414464473724365
8,0.5939155837236825,-1,1.7506607831534693,0.9247368634757349,3.549637616690943,0.1321176108667406,0.46236843173786746,0.5,0.7963563951395326,-1,0.7628497754113149,0.5795275390625,0.2607627685546875,1.7588900390625,3.42976640625,0.7958,0.7893,0.7618,0.0771,12.437711000442505,3.028116226196289
9,0.5826556318897312,-1,1.7001991918531514,0.859188273801642,3.3133141469147245,0.1331640582973674,0.429594136900821,0.5,0.799799191749702,-1,0.7649463718220338,0.572074755859375,0.25563212890625,1.74633671875,3.542328125,0.7976,0.7942,0.7622,0.0536,11.97737193107605,3.0688109397888184
10,0.5747957391253973,-1,1.67016148971299,0.8523183273056806,3.2092623953091897,0.13502486277434786,0.4261591636528403,0.5,0.8029164459745762,-1,0.7659118781655522,0.571746826171875,0.253955029296875,1.6976810546875,3.541271484375,0.7971,0.7931,0.7625,0.0641,12.081887245178223,3.217743396759033
11,0.5632175510212526,-1,1.6791760719428628,0.804025229761156,3.2452622753078653,0.125927480600648,0.402012614880578,0.5,0.806055812512414,-1,0.768361560368942,0.558536474609375,0.2510814697265625,1.777881640625,3.707775390625,0.801,0.7968,0.7621,0.0619,12.142582893371582,3.0728094577789307
12,0.5606137291859772,-1,1.6564527608580508,0.7704912605932204,3.0109946040783897,0.13097391290179752,0.3852456302966102,0.5,0.807517876059322,-1,0.7678540116649563,0.551876904296875,0.2533892578125,1.727901171875,3.72222578125,0.8016,0.797,0.7663,0.0576,12.425566911697388,3.076852798461914
13,0.551419403593419,-1,1.6640949572547008,0.7340755785925913,2.9584818694551114,0.12649218510773222,0.36703778929629566,0.5,0.8110985836740268,-1,0.7681132817672471,0.547938671875,0.256299462890625,1.761308984375,3.857075390625,0.8031,0.7971,0.7641,0.059,12.332917928695679,3.1131973266601562
14,0.5485429278874802,-1,1.6195967076188427,0.7670833135055284,3.0245539778369968,0.12993878833318162,0.3835416567527642,0.5,0.8107234502242784,-1,0.7672470868644068,0.553453564453125,0.258094970703125,1.707162109375,3.798987109375,0.7984,0.7979,0.7675,0.0528,12.415665626525879,3.16198468208313
