#['../main.py', '--dataset=fashion', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.2', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=ClassificationRobustness', '--alpha=0.5', '--seed=2']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.3083708984375,0.513084765625,-1,0.756379638671875,0.1074,0.1163,-1,0.0,0.0,1.7812879085540771
1,1.204900062690347,-1,,-1,-1,-1,-1,-1,0.6178606324276682,-1,,0.67118505859375,0.336979150390625,-1,4.80325703125,0.7559,0.7542,-1,0.0178,3.1723272800445557,1.4996259212493896
2,0.6119332394357455,-1,,-1,-1,-1,-1,-1,0.783197629249702,-1,,0.57299921875,0.3145675537109375,-1,6.5101796875,0.7926,0.7899,-1,0.011,3.1755731105804443,1.502610683441162
3,0.5462416309421345,-1,,-1,-1,-1,-1,-1,0.8054874872757216,-1,,0.52674765625,0.29155791015625,-1,7.99440625,0.8127,0.8078,-1,0.0017,3.1170642375946045,1.5470306873321533
4,0.510018914432849,-1,,-1,-1,-1,-1,-1,0.8158434851694916,-1,,0.495908544921875,0.281548193359375,-1,9.1892625,0.8239,0.8151,-1,0.0002,3.093139410018921,1.571868896484375
5,0.48885655807236494,-1,,-1,-1,-1,-1,-1,0.8243511652542372,-1,,0.485513330078125,0.2851135498046875,-1,9.973203125,0.8277,0.8208,-1,0.001,3.1321845054626465,1.4988000392913818
6,0.4741215140132581,-1,,-1,-1,-1,-1,-1,0.8296532711740268,-1,,0.47832158203125,0.29231318359375,-1,10.59087578125,0.8296,0.8205,-1,0.0007,3.112759590148926,1.5031967163085938
7,0.4615371510133905,-1,,-1,-1,-1,-1,-1,0.8344698760469081,-1,,0.45837548828125,0.267933203125,-1,11.3353296875,0.836,0.8319,-1,0.0,3.1137688159942627,1.4854052066802979
8,0.45624629521774035,-1,,-1,-1,-1,-1,-1,0.8360037076271186,-1,,0.450973486328125,0.267037158203125,-1,11.646521875,0.8397,0.8316,-1,0.0002,3.1683101654052734,1.5484590530395508
9,0.4449338104765294,-1,,-1,-1,-1,-1,-1,0.8408920158774166,-1,,0.448314697265625,0.27090908203125,-1,12.287784375,0.8389,0.8291,-1,0.0,3.108997106552124,1.5085511207580566
10,0.43821522340936175,-1,,-1,-1,-1,-1,-1,0.8428010455632614,-1,,0.441517333984375,0.2630096435546875,-1,12.4101859375,0.8426,0.8336,-1,0.0001,3.1043596267700195,1.5219354629516602
11,0.43336567636263573,-1,,-1,-1,-1,-1,-1,0.843943127131058,-1,,0.44959013671875,0.2922954833984375,-1,13.1940171875,0.8383,0.8317,-1,0.0,3.1236214637756348,1.5113472938537598
12,0.4292325165312169,-1,,-1,-1,-1,-1,-1,0.8462382817672471,-1,,0.427909814453125,0.251462744140625,-1,13.3236875,0.8474,0.8401,-1,0.0,3.1211273670196533,1.531005859375
13,0.42324256896972656,-1,,-1,-1,-1,-1,-1,0.8489418029785156,-1,,0.442589794921875,0.2723896484375,-1,13.8288390625,0.8425,0.8325,-1,0.0001,3.153193473815918,1.5009634494781494
14,0.42240734423621223,-1,,-1,-1,-1,-1,-1,0.8477941610045352,-1,,0.42313642578125,0.2651314697265625,-1,14.17445625,0.8499,0.8388,-1,0.0,3.1554431915283203,1.4896736145019531
15,0.4169075529454118,-1,,-1,-1,-1,-1,-1,0.85049212180962,-1,,0.4237365234375,0.26084052734375,-1,14.3956125,0.8497,0.8381,-1,0.0,3.1069912910461426,1.518531322479248
16,0.4122679112321239,-1,,-1,-1,-1,-1,-1,0.8533446101819054,-1,,0.422294482421875,0.2609778076171875,-1,14.8078203125,0.8504,0.8413,-1,0.0,3.1427011489868164,1.4838292598724365
17,0.4075232037043167,-1,,-1,-1,-1,-1,-1,0.8523073358050848,-1,,0.41549443359375,0.256117724609375,-1,15.1012375,0.8532,0.8405,-1,0.0001,3.1181726455688477,1.4768497943878174
18,0.40590299186059986,-1,,-1,-1,-1,-1,-1,0.854486691749702,-1,,0.41287548828125,0.26541298828125,-1,15.5162328125,0.8552,0.8418,-1,0.0001,3.1411705017089844,1.5720455646514893
19,0.40504685094801046,-1,,-1,-1,-1,-1,-1,0.8540121822033898,-1,,0.4132482421875,0.2624490478515625,-1,15.87418125,0.8525,0.8395,-1,0.0001,3.169174909591675,1.548121452331543
20,0.4034726417670816,-1,,-1,-1,-1,-1,-1,0.855220471398305,-1,,0.4111564453125,0.2576673828125,-1,16.0920484375,0.856,0.8462,-1,0.0,3.1046242713928223,1.4779973030090332
21,0.4021427025229244,-1,,-1,-1,-1,-1,-1,0.8553418304960606,-1,,0.41556513671875,0.2604734619140625,-1,16.18926875,0.8537,0.8385,-1,0.0001,3.0963754653930664,1.511627435684204
22,0.3964932651843055,-1,,-1,-1,-1,-1,-1,0.8572012044615664,-1,,0.4104259765625,0.2651988037109375,-1,16.4674390625,0.8526,0.8428,-1,0.0003,3.1113710403442383,1.5029103755950928
23,0.3949165344238281,-1,,-1,-1,-1,-1,-1,0.8584260455632614,-1,,0.4007921875,0.26300869140625,-1,16.80856875,0.8594,0.8455,-1,0.0006,3.1902754306793213,1.5098950862884521
24,0.3919423313464149,-1,,-1,-1,-1,-1,-1,0.8593529523429224,-1,,0.404054931640625,0.26306796875,-1,17.2389015625,0.8551,0.8432,-1,0.0013,3.113417625427246,1.5159633159637451
25,0.3894703105344611,-1,,-1,-1,-1,-1,-1,0.8600039724576272,-1,,0.4077902099609375,0.266031787109375,-1,17.6364875,0.8571,0.8428,-1,0.0005,3.125925302505493,1.491048812866211
26,0.3881795527571339,-1,,-1,-1,-1,-1,-1,0.8607929682327529,-1,,0.4015563232421875,0.2648039794921875,-1,18.101540625,0.8599,0.8405,-1,0.0006,3.13588285446167,1.4979784488677979
27,0.3843032061043432,-1,,-1,-1,-1,-1,-1,0.8606660487288136,-1,,0.405169775390625,0.267011474609375,-1,18.248253125,0.8578,0.8451,-1,0.0014,3.1463732719421387,1.508399486541748
28,0.3843128398313361,-1,,-1,-1,-1,-1,-1,0.861179157838983,-1,,0.395821484375,0.2622396484375,-1,18.7011109375,0.8619,0.8463,-1,0.0009,3.089326858520508,1.4954919815063477
29,0.38461766000521386,-1,,-1,-1,-1,-1,-1,0.8623322955632614,-1,,0.39667080078125,0.266669091796875,-1,19.0473890625,0.8599,0.8443,-1,0.0009,3.1091439723968506,1.5100383758544922
30,0.38062451249462065,-1,,-1,-1,-1,-1,-1,0.8631929947158038,-1,,0.39635048828125,0.265680810546875,-1,19.346959375,0.862,0.8435,-1,0.0013,3.087965250015259,1.4859254360198975
31,0.3807742878542108,-1,,-1,-1,-1,-1,-1,0.8632039862163996,-1,,0.4030829833984375,0.2705818115234375,-1,19.782353125,0.8573,0.8423,-1,0.0008,3.1258294582366943,1.4987380504608154
32,0.3792033114675748,-1,,-1,-1,-1,-1,-1,0.8640977891825014,-1,,0.3949773193359375,0.26120283203125,-1,19.763025,0.8628,0.8441,-1,0.0005,3.176422119140625,1.5122973918914795
33,0.3756216340145822,-1,,-1,-1,-1,-1,-1,0.8641419491525424,-1,,0.3950296630859375,0.267407470703125,-1,19.7379859375,0.8624,0.8425,-1,0.0006,3.0917084217071533,1.5176668167114258
34,0.3747571848206601,-1,,-1,-1,-1,-1,-1,0.865432997881356,-1,,0.399753759765625,0.273855419921875,-1,20.017225,0.8568,0.8424,-1,0.0008,3.0956544876098633,1.5069072246551514
35,0.37485840360997086,-1,,-1,-1,-1,-1,-1,0.8653722860045352,-1,,0.399425,0.2673112060546875,-1,20.7670203125,0.8611,0.8402,-1,0.0001,3.1346068382263184,1.523630142211914
36,0.3757994053727489,-1,,-1,-1,-1,-1,-1,0.865333686440678,-1,,0.3957639404296875,0.277229248046875,-1,20.807571875,0.8602,0.8396,-1,0.0009,3.152933120727539,1.5073754787445068
37,0.3714356826523603,-1,,-1,-1,-1,-1,-1,0.8666081832627118,-1,,0.3888406005859375,0.2690500244140625,-1,21.2578796875,0.8645,0.8432,-1,0.0008,3.134834051132202,1.5074024200439453
38,0.371550155898272,-1,,-1,-1,-1,-1,-1,0.8659847065553827,-1,,0.3939100341796875,0.2794712646484375,-1,21.2378890625,0.859,0.8449,-1,0.0011,3.127964735031128,1.5092756748199463
39,0.36874315294168764,-1,,-1,-1,-1,-1,-1,0.8677502648305084,-1,,0.391022216796875,0.269925048828125,-1,21.8326953125,0.8645,0.8394,-1,0.0,3.115255355834961,1.4936912059783936
40,0.36852076902227887,-1,,-1,-1,-1,-1,-1,0.867479938571736,-1,,0.392226904296875,0.28246904296875,-1,21.6245265625,0.8629,0.8399,-1,0.0007,3.1141836643218994,1.4923596382141113
41,0.3670705375024828,-1,,-1,-1,-1,-1,-1,0.8694440550723318,-1,,0.392000732421875,0.279209033203125,-1,21.928015625,0.8593,0.8396,-1,0.0013,3.1028661727905273,1.4899635314941406
42,0.36602734711210605,-1,,-1,-1,-1,-1,-1,0.8684674925723318,-1,,0.390417333984375,0.2756880859375,-1,21.9098859375,0.8611,0.8418,-1,0.0007,3.115638256072998,1.505598545074463
43,0.3673148397671974,-1,,-1,-1,-1,-1,-1,0.8679764957751258,-1,,0.386304248046875,0.273521728515625,-1,21.913853125,0.8629,0.8412,-1,0.0014,3.1587283611297607,1.5094337463378906
44,0.3638646077301543,-1,,-1,-1,-1,-1,-1,0.8696261260469081,-1,,0.3860119873046875,0.273672607421875,-1,22.2038078125,0.863,0.8413,-1,0.0012,3.218196392059326,1.5055363178253174
45,0.3632873599812136,-1,,-1,-1,-1,-1,-1,0.8696426779536878,-1,,0.3957192138671875,0.2859282958984375,-1,22.718396875,0.8593,0.8383,-1,0.0006,3.202524423599243,1.4922425746917725
46,0.3638737888659461,-1,,-1,-1,-1,-1,-1,0.8681033506231793,-1,,0.386977587890625,0.2880518798828125,-1,22.7196765625,0.8618,0.8411,-1,0.0009,3.113050699234009,1.545060157775879
47,0.36300888708082296,-1,,-1,-1,-1,-1,-1,0.8686992192672471,-1,,0.383134716796875,0.28316806640625,-1,22.875271875,0.865,0.8384,-1,0.0003,3.1242785453796387,1.533705711364746
48,0.36230265083959545,-1,,-1,-1,-1,-1,-1,0.870266154661017,-1,,0.3875664306640625,0.2867533935546875,-1,23.161946875,0.864,0.8395,-1,0.0003,3.118461847305298,1.5097031593322754
49,0.36193653688592425,-1,,-1,-1,-1,-1,-1,0.8698303093344478,-1,,0.380809375,0.2766465576171875,-1,23.03378125,0.8649,0.8373,-1,0.0006,3.1286544799804688,1.489915132522583
50,0.35908091270317466,-1,,-1,-1,-1,-1,-1,0.8691130169367386,-1,,0.39143818359375,0.2856077880859375,-1,23.3916796875,0.8619,0.8391,-1,0.0012,3.1612048149108887,1.513077974319458
51,0.3574374893964347,-1,,-1,-1,-1,-1,-1,0.8715295953265692,-1,,0.3854798095703125,0.2836486328125,-1,23.6035484375,0.864,0.8373,-1,0.0002,3.1573023796081543,1.5534725189208984
52,0.3576407351736295,-1,,-1,-1,-1,-1,-1,0.8706910084869902,-1,,0.381176171875,0.279618896484375,-1,23.819478125,0.8649,0.8395,-1,0.0004,3.1516470909118652,1.5474836826324463
53,0.3566190428653006,-1,,-1,-1,-1,-1,-1,0.8708123675847458,-1,,0.3780425048828125,0.2859440185546875,-1,24.2012796875,0.868,0.8469,-1,0.0001,3.1450088024139404,1.5464000701904297
54,0.3559295524985103,-1,,-1,-1,-1,-1,-1,0.871286877131058,-1,,0.3787802490234375,0.28705107421875,-1,24.232190625,0.8662,0.8369,-1,0.0004,3.1226723194122314,1.5621473789215088
55,0.35541405112056407,-1,,-1,-1,-1,-1,-1,0.8717061705508474,-1,,0.381521484375,0.296229150390625,-1,24.25940625,0.8658,0.8348,-1,0.0004,3.122035264968872,1.5400488376617432
56,0.3549843804310944,-1,,-1,-1,-1,-1,-1,0.8718661938683462,-1,,0.3802669677734375,0.2812236083984375,-1,24.043215625,0.8635,0.8395,-1,0.0003,3.132758378982544,1.5483334064483643
57,0.35766837556483383,-1,,-1,-1,-1,-1,-1,0.8710551504361428,-1,,0.380666357421875,0.2768182861328125,-1,23.9494578125,0.8633,0.8427,-1,0.0013,3.1560349464416504,1.5100035667419434
58,0.3542193073337361,-1,,-1,-1,-1,-1,-1,0.8713806281655522,-1,,0.375452734375,0.290058251953125,-1,24.4334265625,0.8661,0.837,-1,0.0002,3.136915445327759,1.4920260906219482
59,0.3546010033558991,-1,,-1,-1,-1,-1,-1,0.8717723781779662,-1,,0.3787421630859375,0.298977001953125,-1,24.854821875,0.8656,0.8371,-1,0.0,3.109029531478882,1.5505766868591309
60,0.35055535526598913,-1,,-1,-1,-1,-1,-1,0.8731185783774166,-1,,0.377159619140625,0.2890305908203125,-1,25.1737703125,0.8671,0.8342,-1,0.0004,3.1030616760253906,1.5455315113067627
61,0.35103251570362154,-1,,-1,-1,-1,-1,-1,0.8727765487412275,-1,,0.38242138671875,0.300602734375,-1,25.1582125,0.864,0.8303,-1,0.0005,3.1037216186523438,1.5693531036376953
62,0.35000426082287805,-1,,-1,-1,-1,-1,-1,0.8737144470214844,-1,,0.3821988525390625,0.3033440185546875,-1,25.2336734375,0.8635,0.8344,-1,0.0007,3.0783557891845703,1.532883882522583
63,0.35228784205549857,-1,,-1,-1,-1,-1,-1,0.871485500012414,-1,,0.3738914794921875,0.2977233642578125,-1,25.382896875,0.8672,0.8363,-1,0.0005,3.083477735519409,1.550980567932129
64,0.3493152553752317,-1,,-1,-1,-1,-1,-1,0.8741447965977556,-1,,0.39016142578125,0.3011043701171875,-1,25.70934375,0.8601,0.8327,-1,0.0013,3.083883762359619,1.5669610500335693
65,0.350457045991542,-1,,-1,-1,-1,-1,-1,0.8735434322033898,-1,,0.379007861328125,0.30693837890625,-1,25.467553125,0.8664,0.8337,-1,0.0006,3.068694591522217,1.5365793704986572
66,0.3507005400576834,-1,,-1,-1,-1,-1,-1,0.873730998928264,-1,,0.3786873779296875,0.294789794921875,-1,25.8006421875,0.8633,0.8371,-1,0.0013,3.068856716156006,1.5748090744018555
67,0.34874605728408037,-1,,-1,-1,-1,-1,-1,0.8739075741525424,-1,,0.375563232421875,0.2980462646484375,-1,26.136196875,0.8659,0.8356,-1,0.0005,3.0934231281280518,1.5800483226776123
68,0.3460299281750695,-1,,-1,-1,-1,-1,-1,0.873775158898305,-1,,0.379721142578125,0.302024462890625,-1,25.995409375,0.8649,0.8333,-1,0.0001,3.0857481956481934,1.575615644454956
69,0.3465420351190082,-1,,-1,-1,-1,-1,-1,0.8745089385469081,-1,,0.3726239501953125,0.294684619140625,-1,26.5454625,0.8688,0.8368,-1,0.0006,3.0878305435180664,1.5572726726531982
70,0.34560982655670686,-1,,-1,-1,-1,-1,-1,0.8744813951395326,-1,,0.3767200439453125,0.3056391357421875,-1,26.5067375,0.8673,0.8314,-1,0.0007,3.0963797569274902,1.5686190128326416
