#['../main.py', '--dataset=fashion', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.2', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=ClassificationRobustness', '--seed=2', '--logic=QLL_5']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.3083708984375,0.512805126953125,0.756467236328125,0.756387060546875,0.1074,0.1176,0.0,0.0,0.0,4.092199802398682
1,1.3682111319849046,-1,1.257591118246822,0.5683960995431674,1.4083713596150027,0.23674846907793465,0.2841980497715837,0.5,0.5919016821909759,-1,0.03448313777729616,0.818316650390625,0.243947216796875,1.56858427734375,1.57033037109375,0.7243,0.7253,0.1061,0.1059,13.706799983978271,3.683773994445801
2,0.784917605125298,-1,1.5565470032772775,0.8077981593245167,2.19961961649232,0.18401558116330938,0.40389907966225835,0.5,0.7431806144067796,-1,0.12834348516949154,0.74228310546875,0.23798251953125,1.45573994140625,1.45438388671875,0.7463,0.747,0.1847,0.1865,13.733130931854248,3.513087511062622
3,0.7367675910561772,-1,1.4877231403932734,0.8305073754262116,2.3201896538168696,0.18171079280012745,0.4152536877131058,0.5,0.7523724184197894,-1,0.1684266914755611,0.718868115234375,0.2377793212890625,1.3653791015625,1.36844248046875,0.752,0.7508,0.2183,0.2198,13.304418802261353,3.598590135574341
4,0.7059727684926178,-1,1.4325500746904793,0.8355123228945974,2.357984381206965,0.18033045429294392,0.4177561614472987,0.5,0.7613546080508474,-1,0.19843529846708655,0.68841416015625,0.2132985595703125,1.2970943359375,1.29737373046875,0.7651,0.7646,0.2461,0.247,13.011794328689575,3.5008866786956787
5,0.6905518871242717,-1,1.3796406115515758,0.914446491306111,2.5844023106461864,0.1822245161412126,0.4572232456530555,0.5,0.7663918834621624,-1,0.22127692982301875,0.664445654296875,0.2372175537109375,1.33972080078125,1.33946884765625,0.7627,0.7627,0.2699,0.2703,13.3334219455719,3.4920849800109863
6,0.6709167997715837,-1,1.3723201428429554,0.8643042354260461,2.5199851343187234,0.17918914859577761,0.43215215004096597,0.5,0.7716222860045352,-1,0.2356991525423729,0.65346162109375,0.2221010986328125,1.29298544921875,1.293369921875,0.7681,0.7677,0.2778,0.278,13.100173234939575,3.7973172664642334
7,0.6635547573283568,-1,1.34899074748411,0.923446396649894,2.6556274931309587,0.17774573827193954,0.461723198324947,0.5,0.7729354470463122,-1,0.24710892822782873,0.648428369140625,0.22679091796875,1.2853046875,1.283219140625,0.7704,0.7682,0.2863,0.2867,13.424565076828003,3.47414231300354
8,0.6571553763696703,-1,1.3310121439271054,0.9557783482438427,2.8071974414890097,0.17548017986750197,0.47788917412192133,0.5,0.7732057733050848,-1,0.2558538630857306,0.642340966796875,0.2213839599609375,1.2661806640625,1.26810439453125,0.7736,0.7725,0.2914,0.2912,13.296026945114136,3.9321625232696533
9,0.6512306342690678,-1,1.3074702893273304,0.9097639180846133,2.651097960391287,0.17947995460639565,0.45488195904230666,0.5,0.7764554427841962,-1,0.2678815712363033,0.640043896484375,0.231226123046875,1.2434568359375,1.2444708984375,0.766,0.7686,0.3077,0.3086,13.820024728775024,3.6034538745880127
10,0.6440548654329978,-1,1.2961322331832628,0.89170177912308,2.658210107835673,0.17424513929981297,0.44585088956154,0.5,0.7784030720338984,-1,0.27680306515451203,0.640538720703125,0.2396693603515625,1.2485236328125,1.2480728515625,0.7658,0.7651,0.3182,0.3177,12.987948179244995,3.6270511150360107
11,0.644983517921577,-1,1.2637742899231992,0.9551614017809852,2.731689970372087,0.17966820021807137,0.4775807008904926,0.5,0.777095471398305,-1,0.2882073289256985,0.63264443359375,0.2324934814453125,1.21157666015625,1.21338837890625,0.7675,0.7689,0.3249,0.3232,13.902739524841309,3.8339903354644775
12,0.6407535359010859,-1,1.2603759765625,0.987421779309289,2.979444342144465,0.1773210622496524,0.4937108896546445,0.5,0.7775037733174986,-1,0.2915673660019697,0.63479521484375,0.215100244140625,1.1635046875,1.1621767578125,0.778,0.7765,0.3232,0.3229,14.085095882415771,3.6299781799316406
