#['../main.py', '--dataset=fashion', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.2', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=ClassificationRobustness', '--seed=4', '--logic=STL_5']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.304823046875,0.1957039306640625,0.7679056640625,0.79245224609375,0.1068,0.1081,0.093,0.0,0.0,4.177927732467651
1,1.1588059764797405,-1,0.8137591733770856,0.6112195031117584,1.3104332099526614,0.2511314780025159,0.3056097515558792,0.5,0.653375463970637,-1,0.6224675582627118,0.727082275390625,0.219293505859375,0.93338544921875,2.1785291015625,0.7516,0.7504,0.7302,0.0792,14.299548625946045,3.37923264503479
2,0.7062366291628046,-1,0.8937644311937235,0.858010825464281,1.772016880875927,0.2713122933597888,0.4290054127321405,0.5,0.7594952987412275,-1,0.7348164057327529,0.661139404296875,0.18597989501953124,0.85383193359375,2.211441015625,0.7732,0.7718,0.7449,0.0718,13.857269048690796,3.3781023025512695
3,0.6459352525614076,-1,0.8564297304315082,0.7915529800673663,1.5949328147758872,0.26394008377851064,0.39577649003368315,0.5,0.7791920678090241,-1,0.752195907851397,0.61461865234375,0.19968768310546875,0.83865234375,2.3311150390625,0.7815,0.7823,0.76,0.0694,13.787971258163452,3.36454439163208
4,0.6202585252664857,-1,0.8327939308295815,0.7662652225817664,1.5211526903055481,0.2732946428201966,0.3831326112908832,0.5,0.7866128177966102,-1,0.7602125264830508,0.602705517578125,0.18436146240234375,0.786898583984375,2.325355078125,0.7888,0.7875,0.7658,0.0556,14.099823713302612,3.3679447174072266
5,0.6081676159874868,-1,0.7994331101239738,0.7632958363678496,1.4748299808825476,0.27512230307368907,0.3816479181839248,0.5,0.792775622868942,-1,0.7662870762711864,0.587635302734375,0.1802412841796875,0.78627431640625,2.4165373046875,0.7946,0.7934,0.771,0.0631,14.716547727584839,3.4274768829345703
6,0.6000321598376258,-1,0.7783395152980999,0.7857687998626192,1.4208668854277013,0.3003959979041148,0.3928843999313096,0.5,0.7963673866401284,-1,0.76962506569038,0.589352392578125,0.18731966552734375,0.7779556640625,2.3224783203125,0.7907,0.7898,0.7659,0.0646,14.17901349067688,3.4131414890289307
7,0.5888320793539791,-1,0.7815997883424921,0.7021814120017876,1.3873364723334878,0.27337407257597324,0.3510907060008938,0.5,0.7981329449152542,-1,0.7709878177966102,0.58153466796875,0.1653553955078125,0.730430859375,2.3527580078125,0.7996,0.798,0.7715,0.0484,14.019911527633667,3.3792169094085693
8,0.5923376568293167,-1,0.7445873325153932,0.7754578024654065,1.3046543961864407,0.31740347005553166,0.38772890123270326,0.5,0.8007923061564818,-1,0.7725326408774166,0.570073095703125,0.1735868896484375,0.733984521484375,2.3966681640625,0.8003,0.7978,0.7749,0.0465,14.597172737121582,3.3859384059906006
9,0.5768527661339712,-1,0.7536987692622815,0.6454830492957163,1.254373970678297,0.2787739381951801,0.32274152464785816,0.5,0.8024750402418234,-1,0.7754733845338984,0.569827001953125,0.17803590087890625,0.739567578125,2.43951640625,0.7959,0.7926,0.77,0.0408,14.143378973007202,3.359633207321167
