#['../main.py', '--dataset=mnist', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.2', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=ClassificationRobustness', '--alpha=0.5', '--seed=0']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.3127064453125,0.505271826171875,-1,0.8517373046875,0.1095,0.1125,-1,0.0,0.0,2.722029209136963
1,1.2759783470024497,-1,,-1,-1,-1,-1,-1,0.6371822033898306,-1,,0.442323779296875,0.2265515625,-1,7.8687890625,0.8694,0.8621,-1,0.0176,3.587900161743164,2.237156629562378
2,0.4115975913354906,-1,,-1,-1,-1,-1,-1,0.8764455116401284,-1,,0.319985595703125,0.18786368408203125,-1,9.619584375,0.904,0.8984,-1,0.0069,3.5476479530334473,2.303109884262085
3,0.34131179421635,-1,,-1,-1,-1,-1,-1,0.8975768008474576,-1,,0.28830380859375,0.178917626953125,-1,10.73257578125,0.9139,0.9065,-1,0.0021,3.5615406036376953,2.2099461555480957
4,0.309849076351877,-1,,-1,-1,-1,-1,-1,0.9068293167372882,-1,,0.2574962646484375,0.155489794921875,-1,11.4481109375,0.922,0.9154,-1,0.0006,3.4821910858154297,2.2529525756835938
5,0.2908003532280356,-1,,-1,-1,-1,-1,-1,0.9127328517073292,-1,,0.2412642333984375,0.15008851318359376,-1,12.5467359375,0.9272,0.9201,-1,0.0005,3.4581716060638428,2.318540096282959
6,0.27427385621151684,-1,,-1,-1,-1,-1,-1,0.9186584343344478,-1,,0.2354764892578125,0.1548180908203125,-1,13.652125,0.9285,0.9218,-1,0.0008,3.5444116592407227,2.3814799785614014
7,0.2641050532712775,-1,,-1,-1,-1,-1,-1,0.9219357118768207,-1,,0.2181546630859375,0.1423978515625,-1,14.5449234375,0.9355,0.9278,-1,0.0005,3.5476367473602295,2.5516841411590576
8,0.2544402267973302,-1,,-1,-1,-1,-1,-1,0.9237012054960606,-1,,0.21827861328125,0.14916177978515624,-1,15.35663125,0.9348,0.9283,-1,0.0009,3.6179544925689697,2.409942626953125
9,0.24638565516067765,-1,,-1,-1,-1,-1,-1,0.9264102224576272,-1,,0.204510546875,0.13879200439453124,-1,16.1443078125,0.9394,0.9272,-1,0.0002,3.4938442707061768,2.2218189239501953
10,0.2372939384589761,-1,,-1,-1,-1,-1,-1,0.9293895656779662,-1,,0.19809444580078125,0.13610355224609375,-1,16.7228984375,0.9402,0.9328,-1,0.0004,3.458261013031006,2.2361152172088623
11,0.22939340947038037,-1,,-1,-1,-1,-1,-1,0.9308350773180946,-1,,0.191653466796875,0.13996566162109375,-1,17.3526015625,0.9434,0.9325,-1,0.0006,3.4554243087768555,2.2047579288482666
12,0.22213232719292075,-1,,-1,-1,-1,-1,-1,0.9342944258350437,-1,,0.1846669677734375,0.13405986328125,-1,18.10714375,0.9446,0.9333,-1,0.0003,3.6825649738311768,2.422489881515503
13,0.21682091082556773,-1,,-1,-1,-1,-1,-1,0.934421345338983,-1,,0.18238172607421874,0.13309080810546875,-1,18.4951515625,0.9464,0.9349,-1,0.0003,3.47119140625,2.2816619873046875
14,0.21249756570589745,-1,,-1,-1,-1,-1,-1,0.9366282446909759,-1,,0.180974658203125,0.139017431640625,-1,18.9814484375,0.9456,0.9338,-1,0.0002,3.45331072807312,2.3398959636688232
15,0.20641204058113743,-1,,-1,-1,-1,-1,-1,0.9386641292248742,-1,,0.17314703369140624,0.1360365966796875,-1,19.5445484375,0.9513,0.9323,-1,0.0002,3.5221199989318848,2.465742349624634
16,0.2037604380462129,-1,,-1,-1,-1,-1,-1,0.9385151620638572,-1,,0.16677200927734376,0.1306877685546875,-1,19.9017109375,0.9509,0.9357,-1,0.0002,3.494534730911255,2.575742721557617
17,0.19829366974911447,-1,,-1,-1,-1,-1,-1,0.9410862680208885,-1,,0.16782010498046876,0.13261019287109374,-1,20.4499640625,0.9508,0.9328,-1,0.0002,3.4879770278930664,2.222837448120117
18,0.19221663070937334,-1,,-1,-1,-1,-1,-1,0.9428186578265692,-1,,0.161564697265625,0.12875887451171875,-1,20.7161703125,0.9526,0.939,-1,0.0004,3.440051317214966,2.2326834201812744
