#['../main.py', '--dataset=mnist', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.2', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=ClassificationRobustness', '--seed=1', '--logic=STL_5']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.30191953125,0.16903167724609375,0.4665775390625,0.48727646484375,0.1136,0.1141,0.1135,0.0,0.0,3.747363805770874
1,1.4317320484226033,-1,0.6336099656961732,0.42419918512893934,0.7400711835440943,0.27417619349592826,0.21209959256446967,0.5,0.6410277415130098,-1,0.6020094014830508,0.537346337890625,0.1399663818359375,0.673376611328125,2.511708984375,0.8686,0.8701,0.854,0.0466,16.20922589302063,3.658881664276123
2,0.5101161568851794,-1,0.675088462183031,0.6732997571007681,0.7710759437690347,0.44396329330185713,0.33664987855038403,0.5,0.8719599449028403,-1,0.8542218612412275,0.4095619873046875,0.1162177978515625,0.553142578125,2.28676953125,0.8992,0.8961,0.8851,0.0879,13.975516080856323,3.417024612426758
3,0.4423207751775192,-1,0.6187355558750993,0.6500552549200543,0.7339021068508342,0.44963319422835013,0.32502762746002717,0.5,0.8866525423728814,-1,0.8701171875,0.383465185546875,0.11120322265625,0.5056701171875,2.17093828125,0.9038,0.9012,0.891,0.0857,13.93419337272644,3.409104824066162
4,0.4114740985935017,-1,0.5612990815760726,0.6243306822695974,0.6713988740565413,0.47063859842591366,0.3121653411347987,0.5,0.8966002383474576,-1,0.8801918029785156,0.341363330078125,0.09694127197265626,0.459974560546875,2.2545435546875,0.9178,0.9133,0.9041,0.0834,13.858304023742676,3.391796827316284
5,0.3740371445478019,-1,0.5156563581046412,0.5786997261693922,0.6234498104806674,0.4713996628583488,0.2893498630846961,0.5,0.9049478951147047,-1,0.8901284427966102,0.2993036376953125,0.08726834716796875,0.429444384765625,2.2909076171875,0.9255,0.9244,0.9119,0.0846,13.888912200927734,3.4049417972564697
6,0.3317200612213652,-1,0.4823160979707362,0.5513682607877053,0.584342827231197,0.4799751346394167,0.27568413039385264,0.5,0.9160542245638572,-1,0.9001092425847458,0.2726803466796875,0.075241015625,0.3844100341796875,2.307569921875,0.9358,0.9362,0.9211,0.0791,13.919615268707275,3.4006505012512207
7,0.30483572361832956,-1,0.4477758245953059,0.5357465259099411,0.5480276204771914,0.5003912004373842,0.26787326295497055,0.5,0.9224708686440678,-1,0.9086224184197894,0.25593056640625,0.07062125244140625,0.359098486328125,2.3834529296875,0.9383,0.936,0.926,0.0597,13.945976972579956,3.465043783187866
8,0.2869555909754866,-1,0.4268270912816969,0.5318638753082793,0.5301226599741791,0.5113432932708223,0.26593193765413964,0.5,0.928953720351397,-1,0.912892810368942,0.23652353515625,0.06788818359375,0.344234619140625,2.4920390625,0.944,0.9403,0.9317,0.0579,13.953090906143188,3.414193868637085
9,0.2703756720332776,-1,0.40811008518025027,0.5304817587642346,0.5150117065946934,0.52693835759567,0.2652408793821173,0.5,0.9335330381231793,-1,0.9174059851694916,0.2187443603515625,0.062404742431640625,0.319394091796875,2.4722146484375,0.9501,0.9462,0.9364,0.0504,13.952648401260376,3.4021542072296143
