#['../main.py', '--dataset=mnist', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.2', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=ClassificationRobustness', '--seed=2', '--logic=QLL_5']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.3107134765625,0.516423046875,0.6876966796875,0.68768818359375,0.1138,0.1139,0.0,0.0001,0.0,3.053440809249878
1,1.3666989601264565,-1,1.217290587344412,0.40556539115259205,1.1278939974510063,0.18059463824255992,0.20278269557629602,0.5,0.6211654533774166,-1,0.06345449463795808,0.5062224609375,0.1538094970703125,1.549063671875,1.5485822265625,0.8716,0.8709,0.1999,0.2005,11.100775718688965,2.9179770946502686
2,0.5110038498700675,-1,1.527171118784759,0.6168726904917572,1.8479493997864804,0.1673865075838768,0.3084363452458786,0.5,0.8667129904536878,-1,0.24713100821284925,0.424813134765625,0.138576416015625,1.2520466796875,1.25206708984375,0.8971,0.8968,0.3342,0.335,11.091469764709473,2.916166067123413
3,0.4562669851012149,-1,1.3283762527724443,0.6266711606817731,1.8400916406663799,0.1726347066588321,0.31333558034088654,0.5,0.8820511122881356,-1,0.3403734110169492,0.3893477783203125,0.1357096923828125,1.1532494140625,1.15415087890625,0.9023,0.9007,0.399,0.3987,10.980276107788086,2.912087917327881
4,0.42321069361799857,-1,1.2672503196586997,0.6167519779528602,1.9424553564039326,0.16214548531225173,0.3083759889764301,0.5,0.8897808527542372,-1,0.379397279125149,0.3651182373046875,0.1384709228515625,1.12993154296875,1.13101962890625,0.906,0.904,0.4248,0.4253,11.100889444351196,2.8059282302856445
5,0.40085120120290985,-1,1.2091231265310514,0.6035861645714712,1.9265766467078258,0.16101691682459945,0.3017930822857356,0.5,0.8952429819915254,-1,0.40863900265451203,0.348478369140625,0.1351117919921875,1.04151904296875,1.03984423828125,0.912,0.9091,0.4622,0.4604,11.09507966041565,2.895698070526123
6,0.3820394095727953,-1,1.1446862948142875,0.5958229970123808,1.8537595070014565,0.1668149495528916,0.2979114985061904,0.5,0.9001368506480072,-1,0.4332296080508475,0.336823974609375,0.1276965576171875,0.97465107421875,0.97510146484375,0.9162,0.9153,0.4799,0.4792,10.98659873008728,2.926826238632202
7,0.3531002755892479,-1,1.081867670608779,0.5641787254204185,1.822484679141287,0.15967702057402014,0.28208936271020923,0.5,0.9064817266949152,-1,0.4587305683200642,0.29907138671875,0.11785457763671875,0.9457453125,0.94449111328125,0.9241,0.9219,0.5012,0.5019,11.124379396438599,2.8802061080932617
8,0.32580786236261916,-1,1.0656898627846927,0.5488795910851431,1.8673170703952595,0.14996252221576237,0.2744397632146286,0.5,0.9155245635469081,-1,0.475293531256207,0.28282685546875,0.118253369140625,0.932385546875,0.932616796875,0.9255,0.9242,0.5246,0.5236,10.92478084564209,2.671719551086426
9,0.3131139722921081,-1,1.036958532818293,0.5783440541412871,1.9116697149761652,0.15529470928644729,0.28917202707064354,0.5,0.9183439481056342,-1,0.48579293590481,0.2740728271484375,0.110998291015625,0.90460712890625,0.905380859375,0.9292,0.9281,0.5284,0.527,10.859535455703735,2.7830393314361572
