#['../main.py', '--dataset=fashion', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.1', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=ClothingFootwear', '--seed=1', '--logic=STL_5']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.30806328125,0.06134891967773438,0.1749967041015625,0.19731287841796874,0.1,0.3896,0.3779,0.2,0.0,5.365072727203369
1,1.5523657071388375,-1,0.0454069113327285,0.571738614874371,0.11578693228252863,4.319393351926642,0.25419697519076073,0.4699760372355833,0.4311440677966102,-1,0.8996954449152542,0.75381650390625,0.003976611709594726,0.018670091247558595,0.107554248046875,0.7245,0.996,0.9954,0.9097,18.960567474365234,5.162208795547485
2,0.6701879339703058,-1,0.016155473256515243,1.1185205750546212,0.07775502285714876,7.155890513274629,0.4490822937528966,0.4162635803222656,0.7617076938435182,-1,0.9962537733174986,0.632915966796875,0.002671109390258789,0.01225477066040039,0.13986912841796875,0.772,0.9978,0.9974,0.8788,19.17355751991272,5.09960412979126
3,0.6000363624702065,-1,0.01699783640392756,1.0526366799564686,0.07697980686769647,6.991964566505562,0.409017530538268,0.389026253910388,0.7864418029785156,-1,0.9963199809446173,0.585105712890625,0.0028857805252075195,0.014479342651367187,0.141645654296875,0.7887,0.9975,0.9969,0.8942,19.086998462677002,5.134495735168457
4,0.5683346117957163,-1,0.01515136330814685,1.0559394319178694,0.06612737704131563,7.426953331898835,0.3765608900684421,0.36323337231652214,0.7962074279785156,-1,0.9967889300847458,0.558673193359375,0.0032661819458007814,0.016114872741699218,0.168527392578125,0.7979,0.9969,0.9965,0.8738,19.078248977661133,5.097795009613037
5,0.5460145594710011,-1,0.01313114368309409,1.1281312845521054,0.061459201877400026,7.738645391949152,0.3825108479645293,0.3458881054894399,0.8061826673604674,-1,0.997268935381356,0.53651279296875,0.002963320732116699,0.016327395629882814,0.1655611083984375,0.8041,0.9968,0.9965,0.8784,19.055466651916504,5.020772218704224
6,0.5284141605183229,-1,0.014211225307593911,1.0232163768703655,0.06358577033220711,7.204475532143803,0.3583681785454184,0.36614123845504504,0.8115234375,-1,0.9970372086864406,0.524033544921875,0.0032848079681396486,0.017385748291015624,0.17623873291015624,0.8063,0.9972,0.9963,0.878,20.594058990478516,5.069140672683716
7,0.5182029918088751,-1,0.013299239894091073,1.1292777627201405,0.061230627156920354,7.63965671345339,0.3757883815442101,0.3463396621962725,0.8148779788259732,-1,0.997219279661017,0.50728544921875,0.0019909095764160155,0.011244095611572266,0.20446173095703124,0.8179,0.9979,0.9977,0.8521,19.332844018936157,5.245931148529053
8,0.5071703054137149,-1,0.013157933445300087,1.1221120802022644,0.059693069781287245,7.8104910123146185,0.3815039295261189,0.3565785036248676,0.821095935368942,-1,0.9972854872881356,0.498773828125,0.0024228822708129883,0.012037425994873048,0.2138912841796875,0.82,0.9982,0.9976,0.8482,20.62086844444275,4.945862770080566
9,0.49397672232934986,-1,0.01334089242805869,1.0229421712584414,0.0601196167832714,7.531028100999735,0.3471113948498742,0.3548700364969544,0.824213254249702,-1,0.9973958548852953,0.489615625,0.0019094566345214843,0.009623662567138673,0.2447676513671875,0.8273,0.9984,0.998,0.8224,19.121405363082886,5.845093488693237
