#['../main.py', '--dataset=fashion', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.1', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=ClothingFootwear', '--alpha=0.5', '--seed=4']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.304823046875,0.43325947265625,-1,0.612837255859375,0.1068,0.6099,-1,0.2015,0.0,2.9675021171569824
1,1.0954743724758342,-1,,-1,-1,-1,-1,-1,0.6446085137836004,-1,,0.6533306640625,0.31623076171875,-1,0.5870423828125,0.7624,0.9936,-1,0.8571,3.6502108573913574,2.64300274848938
2,0.6093091156523106,-1,,-1,-1,-1,-1,-1,0.7772775423728814,-1,,0.57017001953125,0.31457177734375,-1,0.661650146484375,0.789,0.9972,-1,0.8569,3.429898500442505,2.5633344650268555
3,0.5429841381008342,-1,,-1,-1,-1,-1,-1,0.8019619311316538,-1,,0.53168994140625,0.3147767822265625,-1,0.77493681640625,0.8111,0.9976,-1,0.8457,3.419203519821167,2.6407299041748047
4,0.5123673131910421,-1,,-1,-1,-1,-1,-1,0.8128089904785156,-1,,0.50521669921875,0.3143411865234375,-1,0.8986845703125,0.8177,0.9983,-1,0.811,3.425175428390503,2.4529168605804443
5,0.49499084989903336,-1,,-1,-1,-1,-1,-1,0.820505627131058,-1,,0.485494775390625,0.314558349609375,-1,1.0215376953125,0.8259,0.9979,-1,0.7824,3.4344184398651123,2.5978810787200928
6,0.48074887162548,-1,,-1,-1,-1,-1,-1,0.8253001196909759,-1,,0.48637978515625,0.314338623046875,-1,1.18514580078125,0.8236,0.9985,-1,0.7428,3.5893168449401855,2.724083185195923
7,0.4714917651677536,-1,,-1,-1,-1,-1,-1,0.8292725773180946,-1,,0.4654439453125,0.3144994140625,-1,1.31720205078125,0.8308,0.9986,-1,0.7092,3.432342052459717,2.5709872245788574
8,0.4571064447952529,-1,,-1,-1,-1,-1,-1,0.833978879249702,-1,,0.455947216796875,0.3137933349609375,-1,1.36260244140625,0.8386,0.9987,-1,0.7116,3.7167294025421143,2.7121095657348633
9,0.4493609929488877,-1,,-1,-1,-1,-1,-1,0.8374933792372882,-1,,0.450747607421875,0.3145137939453125,-1,1.51058740234375,0.8394,0.9985,-1,0.6854,3.478407144546509,2.5845043659210205
10,0.4411312361895028,-1,,-1,-1,-1,-1,-1,0.840671345338983,-1,,0.447102978515625,0.313974560546875,-1,1.57053935546875,0.8435,0.999,-1,0.6908,3.4620165824890137,2.531057357788086
11,0.4367399700617386,-1,,-1,-1,-1,-1,-1,0.8440313824152542,-1,,0.437338037109375,0.314519482421875,-1,1.6854978515625,0.8432,0.9987,-1,0.6633,3.448749542236328,2.678666114807129
12,0.42608894736079844,-1,,-1,-1,-1,-1,-1,0.8460783231056342,-1,,0.440874169921875,0.3145650390625,-1,1.8521302734375,0.8431,0.9983,-1,0.6321,3.4731063842773438,2.414321184158325
13,0.42325815103821834,-1,,-1,-1,-1,-1,-1,0.8473252118644068,-1,,0.423980126953125,0.3140833251953125,-1,2.1884322265625,0.8491,0.9988,-1,0.5812,3.412233829498291,2.48097825050354
14,0.41809980748063424,-1,,-1,-1,-1,-1,-1,0.8485058929960606,-1,,0.434634716796875,0.3141087646484375,-1,2.3154462890625,0.8441,0.9991,-1,0.563,3.4033117294311523,2.445613145828247
15,0.4135945853540453,-1,,-1,-1,-1,-1,-1,0.85067975319038,-1,,0.428641796875,0.3137782958984375,-1,2.590881640625,0.8472,0.999,-1,0.5195,3.394655227661133,2.4162683486938477
16,0.41070268921932934,-1,,-1,-1,-1,-1,-1,0.8511101027666512,-1,,0.4244408203125,0.314201513671875,-1,2.840028125,0.8503,0.9988,-1,0.4905,3.407649278640747,2.6608057022094727
17,0.4064118336823027,-1,,-1,-1,-1,-1,-1,0.854784626071736,-1,,0.414372021484375,0.3138973388671875,-1,2.8321390625,0.8549,0.999,-1,0.5016,3.5691123008728027,2.705488920211792
18,0.3987926871089612,-1,,-1,-1,-1,-1,-1,0.8564453125,-1,,0.4035425537109375,0.3140778564453125,-1,3.019362109375,0.8592,0.9989,-1,0.4755,3.416616439819336,2.386969804763794
19,0.3971827232231528,-1,,-1,-1,-1,-1,-1,0.8559818591101694,-1,,0.4089390625,0.3140082275390625,-1,3.404203515625,0.8553,0.999,-1,0.4425,3.36049222946167,2.4520342350006104
20,0.3918708865925417,-1,,-1,-1,-1,-1,-1,0.8592039851819054,-1,,0.399741259765625,0.313701513671875,-1,3.712123046875,0.8595,0.9989,-1,0.4094,3.5748660564422607,2.501974105834961
21,0.3899436886027708,-1,,-1,-1,-1,-1,-1,0.858541908910719,-1,,0.3975614013671875,0.3139869873046875,-1,3.85278984375,0.8596,0.9992,-1,0.4147,3.746750831604004,2.758293867111206
22,0.3887805938720703,-1,,-1,-1,-1,-1,-1,0.8602302034022444,-1,,0.40920908203125,0.3142362060546875,-1,4.118358984375,0.8552,0.999,-1,0.3814,3.3656046390533447,2.8669893741607666
23,0.3834676257634567,-1,,-1,-1,-1,-1,-1,0.8617253707627118,-1,,0.394503369140625,0.3138375732421875,-1,4.31686015625,0.863,0.9992,-1,0.398,3.4107954502105713,2.4110240936279297
24,0.3793888415320445,-1,,-1,-1,-1,-1,-1,0.8637281514830508,-1,,0.3934076416015625,0.3144353759765625,-1,4.30171015625,0.8635,0.9989,-1,0.3834,3.4055368900299072,2.400480031967163
25,0.37883567810058594,-1,,-1,-1,-1,-1,-1,0.8628840042372882,-1,,0.3899154052734375,0.314380517578125,-1,4.66000078125,0.8638,0.9988,-1,0.3549,3.3843259811401367,2.714242935180664
26,0.37490392135361494,-1,,-1,-1,-1,-1,-1,0.8649088326147047,-1,,0.39687392578125,0.3138256103515625,-1,4.9902609375,0.8614,0.9992,-1,0.3435,3.410417318344116,2.4723076820373535
27,0.3731585033869339,-1,,-1,-1,-1,-1,-1,0.8651626716225834,-1,,0.3846006103515625,0.3139166259765625,-1,5.097472265625,0.8643,0.999,-1,0.3405,3.528881549835205,2.4644298553466797
28,0.3686056945283534,-1,,-1,-1,-1,-1,-1,0.8667240466101694,-1,,0.3950180908203125,0.3138597412109375,-1,5.45919140625,0.8577,0.9991,-1,0.3363,3.3677542209625244,2.5655264854431152
29,0.36709032220355536,-1,,-1,-1,-1,-1,-1,0.8661061303090241,-1,,0.381257568359375,0.31399033203125,-1,5.304053125,0.8649,0.9991,-1,0.3321,3.433417797088623,2.680469512939453
