#['../main.py', '--dataset=dice', '--epochs=100', '--batch-size=16', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.0156862745', '--oracle-steps=30', '--oracle-restarts=3', '--constraint=ExactlyOnePerPair', '--alpha=0.5', '--seed=0', '--logic=DL2']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,0.6962748508827359,0.12696009523728313,0.15905455981983857,0.1577454454758588,0.4950980579151827,0.0,0.0,0.0,0.0,3.4213831424713135
1,0.6968712526209214,-1,0.11123059076421402,0.05899662831250359,0.5455170238719267,0.0541382677414838,0.029498314156251794,0.4999999439015108,0.5006127637975356,-1,0.0,0.6954515494552314,0.08802984742557302,0.09946163261637968,0.09841648971333224,0.48774511673871207,0.0,0.0,0.0,5.8321685791015625,2.982837677001953
2,0.6937712501077091,-1,0.09660760094137753,0.05722878961002126,0.5289511400110581,0.053930826046887564,0.02861439480501063,0.4999999439015108,0.5073529972749597,-1,0.0,0.6942983141132429,0.08746938845690559,0.09764284246108111,0.09704672589021571,0.5122549393597771,0.0,0.0,0.0,5.934288740158081,2.8702220916748047
3,0.6919575859518612,-1,0.08927266737994026,0.05211334368761848,0.4981195786420037,0.052799435222850126,0.026056670090731454,0.4999999439015108,0.5042892343857709,-1,0.003676470588235294,0.6980560153138404,0.0598144110511331,0.07285597043878891,0.07263339968288646,0.4877450606402229,0.058823529411764705,0.058823529411764705,0.0,5.3634490966796875,2.871216297149658
4,0.6903268589692957,-1,0.06295492368585923,0.06553310506484088,0.4151322420905618,0.08189809322357178,0.03276655253242044,0.4999999439015108,0.5177696452421301,-1,0.04044117647058824,0.7033485711789599,0.03239632354063146,0.05078722799525542,0.048684930100160485,0.47794117647058826,0.014705882352941176,0.0,0.0,5.740767478942871,2.849776029586792
5,0.6880994684555951,-1,0.041060496779049147,0.06778642710517435,0.24915664336260626,0.1561615887810202,0.03389320654027602,0.4999999439015108,0.524509822621065,-1,0.2426470588235294,0.6990760354434743,0.018937838428160724,0.027376360753003287,0.026824230656904334,0.48774511673871207,0.4264705882352941,0.4264705882352941,0.20588235294117646,5.875855922698975,2.814478874206543
6,0.6844443713917452,-1,0.027543069685206693,0.0768521603415994,0.17091972687665155,0.25453727385577035,0.0384260801707997,0.4999999439015108,0.5324755275950712,-1,0.33088235294117646,0.7008582470463771,0.01421424571205588,0.02258218386593987,0.021768179009942448,0.49754905700683594,0.39705882352941174,0.39705882352941174,0.27941176470588236,5.469849348068237,2.7825725078582764
7,0.6818323696360868,-1,0.021884702584322763,0.07899704400230856,0.116951023831087,0.3984329560223748,0.039498518494998705,0.4999999439015108,0.5477941737455481,-1,0.40441176470588236,0.7025236241957721,0.008038055370835698,0.015836745500564575,0.014638506314333747,0.4950980579151827,0.5147058823529411,0.5,0.35294117647058826,5.5487589836120605,2.8233542442321777
8,0.6787009519689223,-1,0.017287645269842708,0.07724476561826818,0.10299043094410616,0.4283611073213465,0.038622379302978516,0.4999999439015108,0.5484068253461052,-1,0.39338235294117646,0.7013463039024204,0.008486839778283062,0.01620800530209261,0.016655231223386878,0.5049019981833065,0.5,0.4852941176470588,0.25,5.612119674682617,2.7804932594299316
9,0.6743351431453929,-1,0.01117253040566164,0.09767244843875661,0.059526282198288864,0.9820488200468176,0.048836210194756,0.4999998878030216,0.5588235855102539,-1,0.625,0.7020906934551164,0.006707316812346964,0.01473265009767869,0.016072981497820688,0.5024509990916532,0.6176470588235294,0.6029411764705882,0.3235294117647059,5.724548101425171,2.7662596702575684
10,0.6670559153837317,-1,0.013496441876187044,0.07923050487742704,0.06189083351808436,0.6763080709120807,0.03961524542640237,0.4999998878030216,0.5680147058823529,-1,0.5588235294117647,0.6985461665134803,0.006545386770192315,0.015526908285477582,0.01617445840555079,0.5073529411764706,0.5588235294117647,0.5588235294117647,0.3235294117647059,5.534823417663574,2.743344783782959
11,0.6603070988374597,-1,0.013572940931600682,0.09694121865665212,0.07432979695937213,0.7420974619248334,0.048470605822170484,0.4999999439015108,0.5759804108563591,-1,0.5808823529411765,0.7024983424766391,0.0084752677118077,0.019451619947657865,0.022255702930338243,0.5073529411764706,0.45588235294117646,0.45588235294117646,0.22058823529411764,5.564723014831543,2.994992971420288
12,0.6522849026848289,-1,0.012941042290014379,0.11659487556008731,0.09637292693643008,0.8782090579762178,0.05829742726157693,0.4999999439015108,0.5778186461504768,-1,0.5735294117647058,0.704414966059666,0.008042779038934147,0.01715349099215339,0.019948184490203857,0.5294118208043715,0.5,0.5,0.3088235294117647,5.631048679351807,3.0786292552948
