#['../main.py', '--dataset=dice', '--epochs=100', '--batch-size=16', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.0156862745', '--oracle-steps=30', '--oracle-restarts=3', '--constraint=ExactlyOnePerPair', '--alpha=0.5', '--seed=1']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,0.6973996629901961,0.328395731308881,-1,0.34962042640237245,0.4901961158303654,0.0,-1,0.0,0.0,2.8296492099761963
1,0.6949211569393382,-1,,-1,-1,-1,-1,-1,0.5049019981833065,-1,,0.6938646353927314,0.30650004218606386,-1,0.3174426134894876,0.4901961158303654,0.0,-1,0.0,0.1923370361328125,2.3236749172210693
2,0.6921105665319106,-1,,-1,-1,-1,-1,-1,0.5091912325690774,-1,,0.6916542801202512,0.3006594882291906,-1,0.3137375887702493,0.5294117647058824,0.0,-1,0.0,0.1397233009338379,2.2539875507354736
3,0.6901328142951516,-1,,-1,-1,-1,-1,-1,0.5422794117647058,-1,,0.6914744657628676,0.29800089667825136,-1,0.3147621435277602,0.5122549393597771,0.0,-1,0.0,0.1402134895324707,2.341763973236084
4,0.6864257700303021,-1,,-1,-1,-1,-1,-1,0.5643382352941176,-1,,0.6930875591203278,0.2810751410091625,-1,0.3083076757543227,0.5392157049740062,0.029411764705882353,-1,0.0,0.13878870010375977,2.2936689853668213
5,0.685232442968032,-1,,-1,-1,-1,-1,-1,0.5600490570068359,-1,,0.6989514967974495,0.2597971804001752,-1,0.2976836316725787,0.5416667040656594,0.17647058823529413,-1,0.058823529411764705,0.13816189765930176,1.9534809589385986
6,0.6799805024090935,-1,,-1,-1,-1,-1,-1,0.5863970588235294,-1,,0.6958638359518612,0.2519997989430147,-1,0.2936972730300006,0.5563725864186007,0.39705882352941174,-1,0.07352941176470588,0.13621854782104492,2.3774778842926025
7,0.6773916693294749,-1,,-1,-1,-1,-1,-1,0.5833332959343406,-1,,0.6942399716844746,0.25011783487656536,-1,0.3005475436939913,0.5686274696798885,0.38235294117647056,-1,0.029411764705882353,0.14065766334533691,2.327829599380493
8,0.6733546537511489,-1,,-1,-1,-1,-1,-1,0.5827205882352942,-1,,0.6948202544567632,0.2297072831322165,-1,0.2971506679759306,0.5588235855102539,0.47058823529411764,-1,0.058823529411764705,0.1396484375,2.7010338306427
9,0.665407517377068,-1,,-1,-1,-1,-1,-1,0.6023284126730526,-1,,0.6896378760244332,0.22077803050770478,-1,0.29750335917753334,0.5710784687715418,0.4852941176470588,-1,0.058823529411764705,0.14959979057312012,2.358450412750244
10,0.6622129328110639,-1,,-1,-1,-1,-1,-1,0.5943627637975356,-1,,0.6904719483618643,0.21404186417074764,-1,0.2999446532305549,0.5759804108563591,0.38235294117647056,-1,0.029411764705882353,0.14251494407653809,2.8064284324645996
11,0.651725544649012,-1,,-1,-1,-1,-1,-1,0.6194852941176471,-1,,0.6844954397164139,0.20429696756250718,-1,0.31419725979075713,0.5710784687715418,0.29411764705882354,-1,0.014705882352941176,0.13989543914794922,2.8181936740875244
12,0.6424738379085765,-1,,-1,-1,-1,-1,-1,0.617034351124483,-1,,0.6884365455777037,0.15615402950960047,-1,0.29158491246840534,0.5416667040656594,0.36764705882352944,-1,0.07352941176470588,0.14517903327941895,2.8740756511688232
13,0.6306703230913948,-1,,-1,-1,-1,-1,-1,0.6341911764705882,-1,,0.6666472191904106,0.17876435728634105,-1,0.34532659194048715,0.6348039402681238,0.23529411764705882,-1,0.0,0.15405917167663574,2.6859617233276367
14,0.6155293408562156,-1,,-1,-1,-1,-1,-1,0.6813725303201115,-1,,0.6648408478381587,0.12922253328211167,-1,0.3187973078559427,0.600490177378935,0.35294117647058826,-1,0.058823529411764705,0.15765762329101562,2.774729013442993
15,0.5949699738446403,-1,,-1,-1,-1,-1,-1,0.6917892343857709,-1,,0.6439666748046875,0.12053819263682646,-1,0.3690338415258071,0.6348039402681238,0.29411764705882354,-1,0.04411764705882353,0.15622615814208984,2.99399733543396
16,0.5756164438584271,-1,,-1,-1,-1,-1,-1,0.7230392904842601,-1,,0.6307482999913833,0.05870274585836074,-1,0.34102467929615693,0.6617647619808421,0.4117647058823529,-1,0.058823529411764705,0.15360474586486816,2.780397891998291
17,0.5559462939991671,-1,,-1,-1,-1,-1,-1,0.7205882352941176,-1,,0.6249873591404335,0.023324740283629474,-1,0.3744703180649701,0.6666667040656594,0.39705882352941174,-1,0.08823529411764706,0.14155316352844238,2.4828124046325684
18,0.5246055827421301,-1,,-1,-1,-1,-1,-1,0.7702206443337833,-1,,0.6079336054184857,-0.01783943877500646,-1,0.3648161046645221,0.6838235294117647,0.4411764705882353,-1,0.07352941176470588,0.14034795761108398,2.7689459323883057
19,0.5022779352524701,-1,,-1,-1,-1,-1,-1,0.7818627637975356,-1,,0.6067230374205346,-0.07265412106233485,-1,0.3534584606395048,0.6715686461504768,0.45588235294117646,-1,0.08823529411764706,0.14336252212524414,2.7621049880981445
20,0.47491275562959556,-1,,-1,-1,-1,-1,-1,0.7928921755622415,-1,,0.6029452903597963,-0.12995533382191377,-1,0.3596529960632324,0.6789215873269474,0.5441176470588235,-1,0.08823529411764706,0.1372973918914795,2.8504793643951416
21,0.45461306852452893,-1,,-1,-1,-1,-1,-1,0.805759822621065,-1,,0.5913388121361826,-0.19135527049793916,-1,0.3926845157847685,0.6911765266867245,0.6029411764705882,-1,0.10294117647058823,0.1388845443725586,2.9328088760375977
22,0.4332665555617389,-1,,-1,-1,-1,-1,-1,0.8192402334774241,-1,,0.5896392149083755,-0.23682019289802103,-1,0.42579157212201285,0.6911765266867245,0.5588235294117647,-1,0.058823529411764705,0.14832663536071777,2.865830421447754
23,0.41241079218247356,-1,,-1,-1,-1,-1,-1,0.8345588235294118,-1,,0.5675386915019914,-0.27175628437715416,-1,0.42844682581284466,0.7254902334774241,0.6470588235294118,-1,0.058823529411764705,0.1476283073425293,2.6886513233184814
24,0.39164217780618105,-1,,-1,-1,-1,-1,-1,0.8474265266867245,-1,,0.5668650608436734,-0.324347131392535,-1,0.43186914219575767,0.7181372362024644,0.5441176470588235,-1,0.04411764705882353,0.13727807998657227,2.7682387828826904
