#['../main.py', '--dataset=dice', '--epochs=100', '--batch-size=16', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.0156862745', '--oracle-steps=30', '--oracle-restarts=3', '--constraint=NotBoth', '--alpha=0.5', '--seed=1', '--logic=QLL_2']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,0.6973996629901961,0.18366007243885712,0.22465739530675552,0.22391696537242217,0.4901961158303654,1.0,0.17647058823529413,0.11764705882352941,0.0,1.8957748413085938
1,0.6953760034897748,-1,0.15949456831988165,0.056419649544884175,0.4552295348223518,0.061794126735014075,0.028209824772442087,0.4999998878030216,0.5042892343857709,-1,0.8676470588235294,0.6964538424622779,0.09195128609152402,0.1125491506913129,0.11096548332887538,0.49264705882352944,1.0,1.0,1.0,2.35079288482666,1.345461130142212
2,0.6946758943445542,-1,0.09635679160847384,0.06865367468665629,0.5222732319551355,0.06605086607091568,0.03432683734332814,0.4999999439015108,0.5122548832612879,-1,1.0,0.6962478488099342,0.06392026648801916,0.08382861754473518,0.08236527442932129,0.4730392343857709,1.0,1.0,1.0,2.513789176940918,1.2516539096832275
3,0.6938095092773438,-1,0.06983266157262466,0.06538344130796545,0.5499395482680377,0.05963790416717529,0.03269172065398272,0.4999999439015108,0.5159314099480125,-1,1.0,0.6940235063141468,0.0332596547463361,0.055587025249705595,0.05373483195024378,0.4950980579151827,1.0,1.0,1.0,2.6378791332244873,1.349724531173706
4,0.6921436085420496,-1,0.055934032973121196,0.07951033115386963,0.5969428455128389,0.06676689316244687,0.039755165576934814,0.4999999439015108,0.5171568253461052,-1,1.0,0.6957214953852635,0.013293960515190573,0.0352661784957437,0.03363511842839858,0.4950980579151827,1.0,1.0,1.0,2.2483673095703125,1.5613415241241455
5,0.6940938725191004,-1,0.0031785123488482308,0.1132504238801844,0.7316526525160846,0.07800121868357938,0.0566252119400922,0.4999999439015108,0.5171568253461052,-1,1.0,0.7015431722005209,-0.05710414928548476,-0.027862888925215778,-0.030089771046357995,0.4901961158303654,1.0,1.0,1.0,2.370579481124878,1.1921637058258057
6,0.6933857412899241,-1,-0.04218334310195025,0.14329754605012782,0.8402691448436064,0.08485903459436753,0.07164877302506391,0.5,0.53125,-1,1.0,0.7036259221095665,-0.09723946627448588,-0.06508323725532084,-0.067719347336713,0.5,1.0,1.0,1.0,2.7162575721740723,1.218073844909668
7,0.6923196456011604,-1,-0.054586336893193865,0.12834903773139505,0.8935081818524528,0.0722122402752147,0.06417451886569753,0.4999999439015108,0.5373774696798885,-1,1.0,0.7054114996218214,-0.09601363013772403,-0.0640499802196727,-0.06699488443486831,0.5147059384514304,1.0,1.0,1.0,2.39864444732666,1.6218538284301758
8,0.692242285784553,-1,-0.10364660795997171,0.16101790876949534,0.9735263375674977,0.08324081757489372,0.08050895438474767,0.5,0.5569853502161363,-1,1.0,0.7117375392539829,-0.19760461414561553,-0.15171173039604635,-0.15445862096898696,0.5196078244377585,1.0,1.0,1.0,2.1917569637298584,1.2446765899658203
9,0.6895059697768268,-1,-0.13493557537303252,0.15591921525843003,1.043838052188649,0.07493812897626091,0.07795960762921501,0.4999999439015108,0.5514706443337833,-1,1.0,0.7082814983293122,-0.20183619330911076,-0.15639483227449305,-0.15980389538933248,0.5269608217127183,1.0,1.0,1.0,2.758080005645752,1.2838690280914307
10,0.6925069023581112,-1,-0.16631775743821087,0.1693284932304831,1.1299423890955307,0.0754773686913883,0.08466424661524155,0.4999999439015108,0.5686274696798885,-1,1.0,0.7087904238233379,-0.1915610257317038,-0.14800305927501006,-0.15187335014343262,0.5294117647058824,1.0,1.0,1.0,2.4098849296569824,1.5439765453338623
11,0.6867331897511202,-1,-0.13933891408583698,0.18024429152993596,1.0830913992489086,0.08358177717994242,0.09012214576496798,0.4999999439015108,0.5680147058823529,-1,1.0,0.7111409505208334,-0.21039140925687902,-0.16419685588163488,-0.16868730152354522,0.5318627637975356,1.0,1.0,1.0,2.1953725814819336,1.2887351512908936
