#['../main.py', '--dataset=dice', '--epochs=100', '--batch-size=16', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.0156862745', '--oracle-steps=30', '--oracle-restarts=3', '--constraint=NotBoth', '--alpha=0.5', '--seed=1', '--logic=STL_10']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,0.6973996629901961,-0.03517325836069444,0.04728462766198551,0.03735124013003181,0.4901961158303654,1.0,0.0,0.11764705882352941,0.0,3.0669960975646973
1,0.6952565698062673,-1,-0.035744547843933105,0.0548358489485348,0.9264310948988971,0.030098175301271325,0.0274179244742674,0.4999998878030216,0.5055147619808421,-1,0.7647058823529411,0.6976172503303079,-0.1434011038611917,-0.08275487843681784,-0.10497121249928194,0.4901961158303654,1.0,1.0,1.0,6.43698263168335,2.7859771251678467
2,0.6940383911132812,-1,-0.0974510347141939,0.055848293444689584,0.7948073218850529,0.0358243935248431,0.027924146722344792,0.4999998878030216,0.5067402334774241,-1,1.0,0.6982096503762638,-0.16879120995016658,-0.11262272385989919,-0.1443157897276037,0.4926471149220186,1.0,1.0,1.0,6.712269067764282,2.835425615310669
3,0.6926045137293199,-1,-0.10883116020875819,0.050206689273609835,0.7878247990327722,0.03195771750281839,0.025103344636804917,0.4999999439015108,0.5073529972749597,-1,1.0,0.6971330081715303,-0.16955755738651052,-0.11615403259501737,-0.15419721603393555,0.49264705882352944,1.0,1.0,1.0,6.825884819030762,2.7849299907684326
4,0.6919432247386259,-1,-0.13118070714613972,0.05989937922533821,0.7899166555965648,0.03778309331220739,0.029949689612669105,0.4999999439015108,0.5177697013406193,-1,1.0,0.7005256204044118,-0.20167803764343262,-0.1309984151054831,-0.167922763263478,0.4950980579151827,1.0,1.0,1.0,6.58172869682312,2.7978649139404297
5,0.6909129198859719,-1,-0.14482902078067555,0.07198343557469986,0.9279154048246496,0.03932706748738008,0.035991714281194354,0.4999999439015108,0.5245098787195542,-1,1.0,0.7032917247099035,-0.2133796495549819,-0.1666893117568072,-0.20416885263779583,0.49754900090834675,1.0,1.0,1.0,6.499685525894165,2.7127926349639893
6,0.6885695737950942,-1,-0.1599859630360323,0.08071814565097585,0.8221771015840418,0.04978198163649615,0.040359072825487924,0.4999999439015108,0.541053996366613,-1,1.0,0.7013516893573836,-0.23215926394743078,-0.1683204594780417,-0.20815421553219066,0.5171568814445945,1.0,1.0,1.0,6.520138502120972,2.784453868865967
7,0.6875763500438017,-1,-0.18865503984339096,0.0757758757647346,0.780365831711713,0.04858931022531846,0.0378879378823673,0.4999999439015108,0.5398284687715418,-1,1.0,0.7023839015586704,-0.26716308032765107,-0.20235783913556268,-0.23180486174190745,0.5269608217127183,1.0,1.0,1.0,6.412268161773682,2.7089977264404297
8,0.6848587709314683,-1,-0.23516565210678997,0.100356564802282,0.8825922573313993,0.0589135815115536,0.050178282401141,0.4999999439015108,0.5428921194637523,-1,1.0,0.7047470691157323,-0.34891683915082145,-0.2695039019865148,-0.2828943308661966,0.5049019981833065,1.0,1.0,1.0,6.5469934940338135,2.777212619781494
9,0.6801413928761202,-1,-0.2910483304192038,0.10841377342448515,0.9758997524485868,0.05670738220214844,0.05420688671224257,0.4999999439015108,0.5600490570068359,-1,1.0,0.7049717622644761,-0.41119659648222084,-0.31152960833381205,-0.3234916855307186,0.5122549393597771,1.0,1.0,1.0,6.546881437301636,2.8396198749542236
10,0.6816641863654641,-1,-0.34182604621438417,0.1202087262097527,1.0539159213795382,0.05803192713681389,0.06010436310487635,0.4999999439015108,0.5618872923009536,-1,1.0,0.7101332720588235,-0.4178761313943302,-0.3120245092055377,-0.32332613888908834,0.5147059384514304,1.0,1.0,1.0,6.494912385940552,2.8205533027648926
11,0.6758674172794118,-1,-0.3274243298698874,0.13017638991860783,1.0404061710133272,0.06405429279102999,0.06508819495930392,0.4999999439015108,0.5655636506922105,-1,1.0,0.7064713870777803,-0.43062420452342315,-0.32260757334092083,-0.3422823232762954,0.524509822621065,1.0,1.0,1.0,6.4920995235443115,2.8004202842712402
12,0.6755030575920554,-1,-0.37862079283770395,0.14728379249572754,1.2421565336339615,0.059806388967177444,0.07364189624786377,0.4999999439015108,0.5674019981833065,-1,1.0,0.7052981806736366,-0.49399420794318705,-0.3414849393508014,-0.3634629249572754,0.5392157049740062,1.0,1.0,1.0,6.3406078815460205,2.677678346633911
13,0.6680112165563247,-1,-0.33969837076523723,0.13353534305796905,1.1401968563304228,0.0584337220472448,0.06676767152898452,0.5,0.569240177378935,-1,1.0,0.7048084034639246,-0.4726734722361845,-0.320987533120548,-0.34033994113697724,0.5318628198960248,1.0,1.0,1.0,6.23686146736145,2.787350654602051
14,0.6589913087732652,-1,-0.3327035342945772,0.14415989202611587,1.3368799546185661,0.054989944486057055,0.07207994601305794,0.4999999439015108,0.5906862932093003,-1,1.0,0.6953556584376915,-0.4828160229851218,-0.31955278621000405,-0.33577590830185833,0.524509822621065,1.0,1.0,1.0,6.355891704559326,2.8759679794311523
15,0.6543814154232249,-1,-0.33208154229556813,0.1401366626515108,1.2553420347325943,0.05580545523587395,0.0700683313257554,0.4999999439015108,0.5955882352941176,-1,1.0,0.695823071049709,-0.5325909782858456,-0.32284728218527403,-0.33774451648487763,0.5392157049740062,1.0,1.0,1.0,6.506412744522095,2.71067476272583
16,0.6461795358096852,-1,-0.328487284043256,0.14449761895572438,1.2713066549862133,0.05696076855939977,0.07224880947786219,0.4999999439015108,0.5992647058823529,-1,1.0,0.684619753968482,-0.5272884929881376,-0.3409299850463867,-0.35503659528844494,0.5686274696798885,1.0,1.0,1.0,6.440766334533691,2.787886381149292
17,0.6397773518281824,-1,-0.35083821240593405,0.19017992300145767,1.4215463750502642,0.06715794170604032,0.09508996150072883,0.4999999439015108,0.6096814099480125,-1,1.0,0.6895249310661765,-0.589808744542739,-0.35400954414816466,-0.36565735760857077,0.5637255275950712,1.0,1.0,1.0,6.576640605926514,2.8830766677856445
18,0.6226564856136546,-1,-0.3562515202690573,0.1693404422086828,1.516545800601735,0.05633755641825059,0.0846702211043414,0.4999999439015108,0.6433823529411765,-1,1.0,0.6725712196499694,-0.5781788545496324,-0.3526034355163574,-0.35663287779864145,0.5931372923009536,1.0,1.0,1.0,6.004803895950317,2.6474552154541016
19,0.6124574997845817,-1,-0.34746742248535156,0.18316048734328327,1.6624437219956343,0.05569929936352898,0.09158024367164164,0.4999999439015108,0.6568627637975356,-1,1.0,0.6627243640376073,-0.5683628531063304,-0.3383948662701775,-0.3154011894674862,0.6102941737455481,1.0,1.0,1.0,6.003190040588379,2.6278812885284424
20,0.5991026934455422,-1,-0.3525862974279067,0.20776800548329072,1.8075597426470589,0.05862595754511216,0.10388400274164536,0.5,0.6697304108563591,-1,0.9926470588235294,0.6901744767731312,-0.666407585144043,-0.3809501143062816,-0.37229134054744945,0.561274528503418,1.0,1.0,1.0,5.995664596557617,2.584622859954834
21,0.5869766684139476,-1,-0.35961493323830995,0.22661896312938018,1.967907849480124,0.05731842798345229,0.11330948156469009,0.4999999439015108,0.6740195891436409,-1,0.9963235294117647,0.6576308456121707,-0.6269758448881262,-0.35478760214412913,-0.3316551376791561,0.6299019981833065,1.0,1.0,1.0,6.137603521347046,2.592878818511963
22,0.5735231848324046,-1,-0.34228796117446003,0.20862669103285847,1.989827324362362,0.05269601765800925,0.10431334551642923,0.4999999439015108,0.6825979457182043,-1,0.9926470588235294,0.6525371775907629,-0.6409121681662167,-0.31685775869032917,-0.28670818665448355,0.6372549393597771,1.0,1.0,1.0,6.171185255050659,2.839972496032715
