#['../main.py', '--dataset=dice', '--epochs=100', '--batch-size=16', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.0156862745', '--oracle-steps=30', '--oracle-restarts=3', '--constraint=NotBoth', '--alpha=0.5', '--seed=2', '--logic=YG']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,0.6950015647738588,0.2946871589211857,0.3309817314147949,0.3295106326832491,0.5147058823529411,0.0,0.0,0.0,0.0,2.099902868270874
1,0.6929775125840131,-1,0.10200160391190473,0.06077713124892291,0.1345368413364186,4.280789543600643,0.016448680092306697,0.2941175629110897,0.5116422316607308,-1,0.6727941176470589,0.693048963359758,0.0,0.0,0.00576539512942819,0.5171568814445945,1.0,1.0,0.9705882352941176,4.5355446338653564,1.8862991333007812
2,0.6883116890402401,-1,0.005397688816575443,0.058278686860028434,0.027377861387589398,7.69940185546875,0.006082879708093756,0.11764702376197367,0.5422794117647058,-1,0.9779411764705882,0.6955104154698989,0.008208268705536337,0.010686870883492863,0.014730471021988812,0.5196078805362477,0.9558823529411765,0.9558823529411765,0.9264705882352942,4.095116376876831,1.9825987815856934
3,0.685447187984691,-1,0.0,0.0852823958677404,0.0,10.0,0.0,0.0,0.5594362932093003,-1,1.0,0.6975768594180837,0.0,0.0,0.011231739731395947,0.524509822621065,1.0,1.0,0.9264705882352942,3.954936981201172,1.6127197742462158
4,0.6834538403679343,-1,0.00035791340119698466,0.07870436415952795,0.054932930890251606,9.414918787339154,0.0029454746228807114,0.029411762952804565,0.5563725303201115,-1,0.9963235294117647,0.6981048583984375,0.004725714816766626,0.008272832807372598,0.04767006986281451,0.5196078244377585,0.9705882352941176,0.9705882352941176,0.7647058823529411,4.177571058273315,1.7205991744995117
5,0.6791151271146887,-1,0.004480329506537493,0.0861514736624325,0.06176610553965849,7.210454604204963,0.013077580753494711,0.14705878145554485,0.5765931746538948,-1,0.9816176470588235,0.7002724292231541,0.002395476488506093,0.0036845838322358973,0.02670493196038639,0.524509822621065,0.9852941176470589,0.9852941176470589,0.8676470588235294,3.616642475128174,1.7754936218261719
6,0.6771784950705135,-1,0.0011420155711033765,0.11308008783003863,0.045701626469107234,8.838999131146599,0.006229412029771244,0.05882352239945356,0.577818702248966,-1,0.9926470588235294,0.6981050827923942,0.0,0.0,0.014475800535258125,0.5318627637975356,1.0,1.0,0.9264705882352942,3.5063796043395996,1.6187934875488281
7,0.6722597795374253,-1,0.007055885213262895,0.09848810644710765,0.06276152414434097,7.767699297736673,0.011609932955573587,0.11764703077428482,0.5821078244377585,-1,0.9742647058823529,0.6918586282169118,0.01593287376796498,0.024443724576164696,0.08595713447122012,0.5490196452421301,0.9117647058823529,0.9117647058823529,0.6323529411764706,3.7913897037506104,1.7923846244812012
8,0.668324863209444,-1,0.015369541504803826,0.11633778319639318,0.13711024733150706,4.476924223058364,0.03027657200308407,0.29411759096033435,0.5894608217127183,-1,0.9411764705882353,0.6987526089537377,0.0028064697980880737,0.0035780063446830303,0.033890548874350154,0.563725471496582,0.9852941176470589,0.9852941176470589,0.8235294117647058,4.405090570449829,1.8121545314788818
9,0.6636887157664579,-1,0.0030015498838003945,0.10617401319391587,0.12715432223151713,7.095638499540441,0.013443603235132554,0.14705880950478947,0.604779467863195,-1,0.9816176470588235,0.6946227877747779,0.006036036154803108,0.00996891102370094,0.04341248203726376,0.5465686461504768,0.9558823529411765,0.9558823529411765,0.8088235294117647,3.960798501968384,1.6212575435638428
10,0.6527978111715877,-1,0.005174490020555609,0.10563961197348203,0.053502643809599036,6.6127148796530335,0.016359362532110774,0.1764705601860495,0.6256127076990464,-1,0.9779411764705882,0.6865044388116575,0.014472368008950177,0.02365651902030496,0.07496435501996208,0.5784314099480125,0.9264705882352942,0.9117647058823529,0.6617647058823529,3.589048147201538,1.555995225906372
