#['../main.py', '--dataset=dice', '--epochs=100', '--batch-size=16', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.0156862745', '--oracle-steps=30', '--oracle-restarts=3', '--constraint=NotBoth', '--alpha=0.5', '--seed=3']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,0.7013589447619868,0.14932967634762034,-1,0.1924163593965418,0.4852941176470588,0.0,-1,0.0,0.0,1.7147092819213867
1,0.6986368964700138,-1,,-1,-1,-1,-1,-1,0.4797794117647059,-1,,0.6944500792260263,0.13336652867934284,-1,0.17483722462373621,0.49019605973187613,0.08823529411764706,-1,0.0,0.20846939086914062,1.3177564144134521
2,0.6931375615737018,-1,,-1,-1,-1,-1,-1,0.5232842950259938,-1,,0.6897378061331955,0.07401608018314138,-1,0.12121445992413689,0.5416667040656594,0.23529411764705882,-1,0.04411764705882353,0.14574790000915527,1.3976380825042725
3,0.6884127785177792,-1,,-1,-1,-1,-1,-1,0.5355392904842601,-1,,0.6900221880744485,0.08073667918934542,-1,0.12616721321554744,0.561274528503418,0.4264705882352941,-1,0.08823529411764706,0.12527012825012207,1.2626166343688965
4,0.6866930793313419,-1,,-1,-1,-1,-1,-1,0.5716911764705882,-1,,0.6861202015596277,0.048468947410583496,-1,0.10139266883625704,0.5514705882352942,0.8235294117647058,-1,0.29411764705882354,0.1253807544708252,1.3245325088500977
5,0.6828550450942096,-1,,-1,-1,-1,-1,-1,0.5618872923009536,-1,,0.6858293121936274,0.04411425310022691,-1,0.10278543303994571,0.5416667040656594,0.7794117647058824,-1,0.3088235294117647,0.1359882354736328,1.297584056854248
6,0.6800783942727482,-1,,-1,-1,-1,-1,-1,0.5741420633652631,-1,,0.6885847951851639,0.04337131275850184,-1,0.10233762684990377,0.5465686461504768,0.8382352941176471,-1,0.35294117647058826,0.12694597244262695,1.3740384578704834
7,0.674837449017693,-1,,-1,-1,-1,-1,-1,0.5986519420848173,-1,,0.6823898764217601,-0.014594417284516728,-1,0.06232078636393828,0.5514705882352942,0.9705882352941176,-1,0.5441176470588235,0.12978839874267578,1.330233097076416
8,0.6694550233728745,-1,,-1,-1,-1,-1,-1,0.6084559384514304,-1,,0.679713529698989,-0.005282403791652006,-1,0.07302920257343966,0.5710784687715418,0.8676470588235294,-1,0.39705882352941174,0.12984943389892578,1.3976070880889893
9,0.6634901832131779,-1,,-1,-1,-1,-1,-1,0.6274510551901424,-1,,0.6795625125660616,-0.015575040789211498,-1,0.07315293480368222,0.5833333520328298,0.8382352941176471,-1,0.45588235294117646,0.1344923973083496,1.407853126525879
10,0.6545002881218406,-1,,-1,-1,-1,-1,-1,0.6231617647058824,-1,,0.682066749123966,-0.006146592252394732,-1,0.08572130343493294,0.5490195891436409,0.8088235294117647,-1,0.29411764705882354,0.13602542877197266,1.3121190071105957
11,0.639376584221335,-1,,-1,-1,-1,-1,-1,0.6580882913926068,-1,,0.6636210422889859,-0.03616831583135268,-1,0.09811381031485165,0.5882352941176471,0.7941176470588235,-1,0.27941176470588236,0.14012789726257324,1.4315333366394043
12,0.6283806071561926,-1,,-1,-1,-1,-1,-1,0.6605391782872817,-1,,0.6650414560355392,-0.045585407930261945,-1,0.09331201805787928,0.5784313538495232,0.8235294117647058,-1,0.2647058823529412,0.12369155883789062,1.3667576313018799
13,0.6137257183299345,-1,,-1,-1,-1,-1,-1,0.6807597665225759,-1,,0.6472073723288143,-0.044860717128304875,-1,0.13424326391781077,0.5882352941176471,0.6911764705882353,-1,0.19117647058823528,0.14455103874206543,1.3791027069091797
14,0.5865417929256663,-1,,-1,-1,-1,-1,-1,0.6966911764705882,-1,,0.6324231016869638,-0.15166174664216883,-1,0.08989413345561308,0.6176470588235294,0.8382352941176471,-1,0.25,0.1300058364868164,1.445385456085205
