#['../main.py', '--dataset=fashion', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.1', '--delta=0.7', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=StrongClassificationRobustness', '--seed=1', '--logic=DL2']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.30806328125,0.9266126953125,1.073351953125,1.07344384765625,0.1,0.0,0.0,0.0,0.0,3.064526081085205
1,1.5683808407541049,-1,0.3736118058026847,0.7849106869455111,0.29336276296841896,3.715259616657839,0.25323662515413964,0.40776045847747283,0.4308185577392578,-1,0.6077694650423728,0.7726716796875,0.00039058897495269777,0.000814511489868164,0.0064181488037109375,0.7158,0.9997,0.9997,0.9896,12.615324258804321,2.950714588165283
2,0.6828536340745829,-1,0.0008036746817120051,1.6178547487420551,0.009437886335081974,9.895553330243644,0.0854359885393563,0.05446008908546577,0.7503972457627118,-1,0.9997186175847458,0.625846435546875,4.4207942485809325e-05,0.00014041098356246947,0.005452390289306641,0.7714,0.9999,0.9999,0.9934,10.992239952087402,2.833118200302124
3,0.5917351286290056,-1,0.00019020883966300447,1.7107458599543168,0.0023899681992450004,9.99387993246822,0.023493962772821977,0.013183765492196811,0.7853714247881356,-1,0.9999337923728814,0.57457744140625,1.3926619291305542e-05,0.00012738697528839112,0.008583959197998047,0.7894,0.9999,0.9999,0.9906,12.46951174736023,2.8550496101379395
4,0.5490445929058527,-1,0.00018283974189879532,1.6937744657872087,0.0022097434532844414,9.974570064221398,0.019810567467899647,0.01209869021076267,0.8004778199276682,-1,0.999950344279661,0.53842216796875,0.0,0.0,0.011823883819580078,0.7986,1.0,1.0,0.9892,10.766035079956055,2.993475914001465
5,0.5258224616616459,-1,0.00020989213707083362,1.8672786647990598,0.0018966681623862963,9.924015368445446,0.012292628571138544,0.009928251727152679,0.8092061705508474,-1,0.999950344279661,0.515943505859375,0.0,0.0,0.014902005004882812,0.8125,1.0,1.0,0.9879,11.407778024673462,2.9040298461914062
6,0.5055403951871194,-1,0.0,1.5468700861526747,0.0,10.0,0.0,0.0,0.8166765762587725,-1,1.0,0.507089013671875,0.0,0.0,0.01870980224609375,0.8142,1.0,1.0,0.9848,10.6284921169281,2.813406229019165
7,0.4942165633379403,-1,0.00027841563194485035,1.8086947424937103,0.002081981781175581,9.99578340174788,0.02048998161897821,0.010831062066352974,0.8198159427966102,-1,0.999950344279661,0.487814208984375,0.0,0.0,0.02005865936279297,0.8232,1.0,1.0,0.9853,10.755656957626343,2.8204939365386963
8,0.48378288139731196,-1,0.0002561379224061966,1.8146826533947962,0.002125542295181145,9.966664459745763,0.01827410116034039,0.009690613059674278,0.824075278589281,-1,0.999950344279661,0.479869287109375,0.0,0.0,0.022244015502929686,0.822,1.0,1.0,0.9834,10.765582799911499,3.0191354751586914
9,0.470612024856826,-1,0.00023061690567913702,1.5500459832660223,0.0012473650908066054,9.98559053065413,0.01127672599533857,0.008163145032979675,0.8277001461740268,-1,0.9999668961864406,0.46912568359375,0.0,0.0,0.026065396118164063,0.8296,1.0,1.0,0.9817,11.594338417053223,2.795166015625
