#['../main.py', '--dataset=fashion', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.1', '--delta=0.7', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=StrongClassificationRobustness', '--seed=2', '--logic=STL_5']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.3083708984375,0.89104140625,1.01773701171875,1.0177037109375,0.1074,0.0,0.0,0.0,0.0,2.9891602993011475
1,1.2494368472341764,-1,-2.3272480075642212,0.7707581600900424,0.3273436659473484,3.1311467057567532,0.3297950292037705,0.46130497172727425,0.6020425052966102,-1,0.6461864406779662,0.70580634765625,-10.7096984375,-7.03954453125,-7.03958359375,0.7438,0.9998,0.9978,0.9978,11.199428796768188,2.8143749237060547
2,0.644527629270392,-1,-8.608332747119968,1.5882925259864937,0.018000091536570402,9.860765360169491,0.1673983557749603,0.11303384425276417,0.7713630159022444,-1,0.9991889565677966,0.6110404296875,-15.5475421875,-10.20430859375,-10.20442734375,0.7768,1.0,0.9993,0.9993,10.974459171295166,2.7101612091064453
3,0.5797815484515692,-1,-10.730999445511124,1.9598480483232918,0.006564287816063832,9.978219759666313,0.06376721495288913,0.029550370523485088,0.7922018665378376,-1,0.999801377118644,0.569534912109375,-18.020103125,-11.57692734375,-11.57691484375,0.7943,1.0,0.9995,0.9995,10.91055178642273,2.7594804763793945
4,0.542302341784461,-1,-11.865883002846928,2.25196967690678,0.005517140788547063,9.9415283203125,0.048952122866097146,0.027075514955035712,0.803859904661017,-1,0.9998675847457628,0.530161767578125,-20.2252046875,-12.7950390625,-12.7953078125,0.8095,1.0,0.9996,0.9996,10.687863826751709,2.726734161376953
5,0.5163611072604939,-1,-12.904781018273304,2.2461139226363875,0.004900264032816483,9.972430730270126,0.04538969670311879,0.017989047503067276,0.8130241652666512,-1,0.9998841366525424,0.521675439453125,-22.418625,-14.05831875,-14.058440625,0.8102,1.0,0.9996,0.9996,10.321447849273682,2.7017743587493896
6,0.5009809591002383,-1,-13.885531150688559,2.4434224791445973,0.003965662192490141,9.990176443326272,0.03859557943829035,0.01782824629444187,0.8197938951395326,-1,0.9999172404661016,0.5061462890625,-23.7131015625,-14.703628125,-14.7037046875,0.8136,1.0,0.9997,0.9997,10.635764122009277,2.7733888626098633
7,0.4901760230630131,-1,-14.240457825741526,2.6452137575311174,0.003257475667080637,10.0,0.0325747586913028,0.01158012474997569,0.8223538802841962,-1,0.9999337923728814,0.4868701171875,-24.2362890625,-14.88108125,-14.880546875,0.8242,1.0,0.9997,0.9997,11.267089366912842,2.798304796218872
8,0.4840332613152973,-1,-14.475373866194385,3.0276049597788663,0.0025777245982218596,9.982312218617585,0.023481433674440545,0.009319227630809203,0.8226794226694916,-1,0.999950344279661,0.484958642578125,-24.242759375,-14.611259375,-14.6115453125,0.827,1.0,0.9998,0.9998,10.704365253448486,2.8315391540527344
9,0.47298298851918363,-1,-14.251333462989937,2.6771628169690147,0.0009189397096633911,10.0,0.009189397601758019,0.003251141663325035,0.8296312235169492,-1,0.9999834480932204,0.472774609375,-24.6884515625,-14.722546875,-14.722484375,0.8294,1.0,0.9996,0.9996,10.710455656051636,2.784336566925049
10,0.46523672847424524,-1,-14.418817035222459,2.4375493970967956,0.002616405992184655,9.960972672801907,0.022053635726540774,0.012711862386283228,0.8317333156779662,-1,0.999950344279661,0.47968916015625,-25.0805859375,-14.819153125,-14.8189796875,0.8239,1.0,0.9996,0.9996,10.594316959381104,2.716418504714966
11,0.46391868591308594,-1,-14.495440984176376,2.861150967872749,0.0034928357197066486,10.0,0.0349283582073147,0.010716201895374363,0.8314574290130098,-1,0.9999337923728814,0.4680859375,-25.7599515625,-15.1221984375,-15.1225109375,0.8318,1.0,0.9996,0.9996,10.655025005340576,2.8086605072021484
12,0.4578950526350636,-1,-14.734090514102224,2.7384211653369968,0.0019077712954100915,10.0,0.01907771320666297,0.005609541626299842,0.8353085275423728,-1,0.999950344279661,0.46054599609375,-25.7321984375,-14.9470421875,-14.9465859375,0.8331,1.0,0.9996,0.9996,10.684081077575684,2.779205560684204
13,0.4539326813261388,-1,-14.683652716167902,2.7491480940479343,0.004074351009676012,9.986117088188559,0.039036811408350025,0.016086199526059424,0.8345526355808064,-1,0.9999172404661016,0.46428330078125,-26.0604546875,-15.07171875,-15.071475,0.8338,1.0,0.9997,0.9997,11.027825593948364,2.778628349304199
14,0.45165449885998743,-1,-14.5047607421875,2.824069782838983,0.0030493099810713427,10.0,0.03049309981071343,0.012677688719862598,0.8363844014830508,-1,0.9999337923728814,0.4511201171875,-25.974125,-14.851959375,-14.8520734375,0.8376,1.0,0.9997,0.9997,10.6348295211792,2.818195343017578
15,0.44774627685546875,-1,-14.533126572431144,2.742746385477357,0.0044392569590423064,9.965497550317796,0.03989606792643919,0.016757272057614084,0.8378299131231793,-1,0.999900688559322,0.450540087890625,-26.520465625,-15.1489421875,-15.148475,0.8397,1.0,0.9998,0.9998,10.737933158874512,2.789506673812866
16,0.4417009838556839,-1,-14.883861477092161,2.654002302784031,0.002561028225947235,9.961449574615996,0.021036881511494264,0.010889014955294334,0.8415762044615664,-1,0.999950344279661,0.44515234375,-26.77516875,-15.223328125,-15.2232015625,0.8404,1.0,0.9998,0.9998,11.285606861114502,3.1425578594207764
17,0.43897577059471,-1,-14.876200013241526,2.8520564709679554,0.0032215381072739423,9.964088569253178,0.02747418314723645,0.011128247794458422,0.8418796345338984,-1,0.9999337923728814,0.445566162109375,-27.063490625,-15.2829328125,-15.2826203125,0.8422,1.0,0.9998,0.9998,11.301294326782227,2.7496204376220703
18,0.4368856721005197,-1,-14.674379510394598,2.7129335565082098,0.003141292070938369,9.971522444385593,0.027994984287326618,0.010488105022301108,0.8422051769191936,-1,0.999950344279661,0.44379267578125,-26.8829375,-15.0148453125,-15.015071875,0.8407,1.0,0.9997,0.9997,12.041315793991089,2.938960313796997
19,0.4350292723057634,-1,-14.503264863612289,2.6084661968683793,0.0010908122284937712,9.997277211334746,0.010557728298639848,0.004237287630469112,0.8429113485045352,-1,0.9999834480932204,0.433075048828125,-26.799896875,-14.75218125,-14.7525515625,0.8478,1.0,0.9997,0.9997,10.865666151046753,2.972947835922241
20,0.4346432443392479,-1,-14.43780000331038,2.8811296366028865,0.00462173809439449,10.0,0.04621737690295203,0.014997300455125711,0.842039657851397,-1,0.999900688559322,0.435047509765625,-27.3165625,-15.0563984375,-15.0564734375,0.8459,1.0,0.9998,0.9998,10.678559303283691,2.9364211559295654
21,0.4335573810642048,-1,-14.385251837261652,2.6325140484308793,0.00347808053938009,9.99855170815678,0.03457473496259269,0.01053204576847917,0.8435458813683462,-1,0.9999337923728814,0.44142724609375,-26.94885625,-14.7341625,-14.733734375,0.8428,1.0,0.9998,0.9998,12.083296298980713,3.1089444160461426
22,0.4269799054679224,-1,-14.544846356925317,2.6244887012546347,0.0024641739614939284,10.0,0.024641740120063396,0.010233858884391139,0.8456755169367386,-1,0.999950344279661,0.444131103515625,-27.314971875,-14.8279734375,-14.828775,0.8426,1.0,0.9998,0.9998,11.028311252593994,2.7730939388275146
23,0.42492905309644796,-1,-14.430382680084746,2.5523332498841365,0.0030279318659992543,9.976636983580509,0.027459415338807188,0.011129161058846166,0.847612090029959,-1,0.9999337923728814,0.424949853515625,-27.33380625,-14.7468875,-14.7469796875,0.8478,1.0,0.9998,0.9998,11.0557119846344,3.1653153896331787
24,0.42212140358100503,-1,-14.34679658534163,2.4153380313162076,0.0018581230256517055,9.964409262447035,0.014511025558083744,0.008233950299731755,0.84872662819038,-1,0.9999668961864406,0.4272419921875,-27.283609375,-14.5509453125,-14.550678125,0.8499,1.0,0.9998,0.9998,11.14421033859253,2.8383333683013916
