#['../main.py', '--dataset=fashion', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.1', '--delta=0.7', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=StrongClassificationRobustness', '--alpha=0.5', '--seed=4']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.304823046875,0.84158974609375,-1,1.10610380859375,0.1068,0.0,-1,0.0,0.0,2.0410053730010986
1,1.0954743724758342,-1,,-1,-1,-1,-1,-1,0.6446085137836004,-1,,0.6533306640625,-6.88252734375,-1,-3.34500703125,0.7624,0.9958,-1,0.8822,3.565112829208374,1.9592862129211426
2,0.6093091156523106,-1,,-1,-1,-1,-1,-1,0.7772775423728814,-1,,0.57017001953125,-8.13445859375,-1,-3.36742890625,0.789,0.9977,-1,0.8861,3.7504959106445312,1.9350132942199707
3,0.5429841381008342,-1,,-1,-1,-1,-1,-1,0.8019619311316538,-1,,0.53168994140625,-9.1823328125,-1,-3.340159765625,0.8111,0.9982,-1,0.8757,3.471802234649658,1.7484514713287354
4,0.5123673131910421,-1,,-1,-1,-1,-1,-1,0.8128089904785156,-1,,0.50521669921875,-9.420946875,-1,-2.9610232421875,0.8177,0.9983,-1,0.8507,3.4179511070251465,1.6736469268798828
5,0.49499084989903336,-1,,-1,-1,-1,-1,-1,0.820505627131058,-1,,0.485494775390625,-9.806571875,-1,-2.752104296875,0.8259,0.9985,-1,0.8266,3.81140398979187,1.8701062202453613
6,0.48074887162548,-1,,-1,-1,-1,-1,-1,0.8253001196909759,-1,,0.48637978515625,-9.83318671875,-1,-2.41685234375,0.8236,0.9983,-1,0.7889,3.427053451538086,1.8047981262207031
7,0.4714917651677536,-1,,-1,-1,-1,-1,-1,0.8292725773180946,-1,,0.4654439453125,-9.7450171875,-1,-2.08875234375,0.8308,0.9987,-1,0.765,3.486079692840576,1.7539093494415283
8,0.4571064447952529,-1,,-1,-1,-1,-1,-1,0.833978879249702,-1,,0.455947216796875,-10.0173390625,-1,-1.923241015625,0.8386,0.9983,-1,0.7345,3.4156270027160645,1.6840107440948486
9,0.4493609929488877,-1,,-1,-1,-1,-1,-1,0.8374933792372882,-1,,0.450747607421875,-10.12265,-1,-1.713165625,0.8394,0.9982,-1,0.7212,3.43349027633667,1.8029673099517822
