#['../main.py', '--dataset=mnist', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.1', '--delta=0.7', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=StrongClassificationRobustness', '--alpha=0.5', '--seed=0', '--logic=STL_5']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.3127064453125,0.787446826171875,0.95583466796875,0.9558369140625,0.1095,0.0,0.0,0.0,0.0,4.0586676597595215
1,1.2752755375231726,-1,-2.5329191563493114,0.7380149970620365,0.3232788473872815,4.959357310149629,0.2156950578851215,0.36543736215365136,0.6353173336740268,-1,0.6617121292372882,0.430885400390625,-13.9475140625,-7.95031953125,-7.95028828125,0.876,1.0,0.9998,0.9998,14.016740083694458,3.805978298187256
2,0.41171749567581434,-1,-9.245307534427965,1.3987742278535487,0.006442056874097404,9.88813083454714,0.05489903789455608,0.03925373998738951,0.8765558792372882,-1,0.9998344809322034,0.3325744384765625,-18.397559375,-10.50639296875,-10.50647578125,0.9025,1.0,0.9998,0.9998,13.84408712387085,3.7986268997192383
3,0.35796634221481066,-1,-10.667876680018539,1.4075198415982522,0.005903442027205128,9.781598624536546,0.03918660697290453,0.033730389708179535,0.8938802298852953,-1,0.9998675847457628,0.308798779296875,-19.9297703125,-11.40222578125,-11.40206328125,0.9087,1.0,0.9998,0.9998,13.388167142868042,3.8334803581237793
4,0.3335684113583322,-1,-11.30174126059322,1.4631917921163269,0.00567594928256536,9.778949284957626,0.03504500550738836,0.02966101492865611,0.8999437235169492,-1,0.9998841366525424,0.283648486328125,-20.7871453125,-11.85083203125,-11.85087265625,0.9144,1.0,0.9999,0.9999,13.090911865234375,3.368021249771118
5,0.31923727261818063,-1,-11.900262347722459,1.4798040874933793,0.0025702283038931376,9.966589976165254,0.022235345032255528,0.011971051410093145,0.9053396451271186,-1,0.999950344279661,0.271102978515625,-21.456834375,-12.205140625,-12.2052125,0.9185,1.0,0.9999,0.9999,12.819090127944946,3.657219409942627
6,0.30325365874726895,-1,-12.075638076006356,1.5126574241508872,0.002520168231705488,9.942149016816737,0.019294366998187568,0.012658081822476144,0.9100789862163996,-1,0.999950344279661,0.2633454345703125,-22.416090625,-12.68616953125,-12.68624296875,0.9214,1.0,0.9999,0.9999,12.769906282424927,3.361619234085083
7,0.2916376146219544,-1,-12.402585821636652,1.5691622717905853,0.0008945190426656755,9.988529528601696,0.007734428522950512,0.004237287630469112,0.9139355804960606,-1,0.9999834480932204,0.2473166259765625,-23.1269609375,-12.8336640625,-12.8335125,0.9295,1.0,1.0,1.0,13.237170934677124,3.410705327987671
8,0.28139718912415584,-1,-12.650662696967691,1.5645586434057204,0.0039631082849987485,9.871048232256356,0.024469995902756513,0.01694915254237288,0.9171632023180946,-1,0.9999337923728814,0.250030224609375,-24.173390625,-13.3117796875,-13.3111953125,0.9278,1.0,1.0,1.0,12.548694133758545,3.595618963241577
9,0.27535884663210075,-1,-13.20326362221928,1.8300791594941737,0.0038619079327179215,9.926222979012183,0.030899460032834846,0.016886398953906562,0.9194529258598716,-1,0.9999337923728814,0.23947470703125,-24.2394296875,-13.376740625,-13.376865625,0.9302,1.0,1.0,1.0,13.010532855987549,3.342398166656494
10,0.26577346607790153,-1,-13.262128409692796,1.7759668382547669,0.0046104980727373545,9.895709538863876,0.034422672401040286,0.021186438657469667,0.9223660614530919,-1,0.9999172404661016,0.2348017578125,-25.5436390625,-14.114515625,-14.1140484375,0.9327,1.0,1.0,1.0,12.486475706100464,3.591186761856079
11,0.25611510519254005,-1,-13.606244620630296,1.7886348659709348,0.0029747602293046854,9.884533898305085,0.0161535578258967,0.012711862386283228,0.923883276470637,-1,0.999950344279661,0.21704072265625,-25.867271875,-14.04256875,-14.0422015625,0.9382,1.0,1.0,1.0,13.108625411987305,3.643488883972168
12,0.24875057349770757,-1,-13.990915072166313,1.9027920739125397,0.0030911337521116614,9.953219138969809,0.025317824493020266,0.01193895077301284,0.9260184724452132,-1,0.999950344279661,0.21660908203125,-26.31416875,-14.1904546875,-14.189871875,0.9353,1.0,1.0,1.0,12.557379007339478,3.4998104572296143
13,0.24225307723223152,-1,-14.067543159096928,1.8428819300764698,0.005031617011054088,9.897887149099576,0.038324008553715073,0.021184430284015204,0.9281812764830508,-1,0.9999172404661016,0.20477667236328126,-27.242915625,-14.7923671875,-14.792675,0.9404,1.0,1.0,1.0,12.78303837776184,3.7153022289276123
14,0.2335677066091764,-1,-14.604734259136652,1.8917981163930084,0.002063664339356503,9.999832411943856,0.02062017634763556,0.008436068639916888,0.9313261387711864,-1,0.9999668961864406,0.2026801513671875,-27.53629375,-14.7596546875,-14.7601265625,0.941,1.0,1.0,1.0,13.474184036254883,3.618323564529419
15,0.22582299830549854,-1,-14.576627052436441,1.7152428061275158,0.005448833360510357,9.838102696305615,0.03346783831968146,0.021186438657469667,0.9331579046734308,-1,0.9999172404661016,0.1998926025390625,-28.30143125,-15.21596875,-15.21691875,0.9426,1.0,1.0,1.0,13.26095199584961,3.5714738368988037
16,0.22146061719474147,-1,-14.828017412605933,1.8315477532855535,0.004715689663159646,9.86759509070445,0.02878188884864419,0.016949151532124666,0.9340351557327529,-1,0.9999337923728814,0.19244945068359376,-29.124671875,-15.6141890625,-15.6150796875,0.9447,1.0,1.0,1.0,12.679670810699463,3.5551650524139404
17,0.21599905369645458,-1,-15.294834977489407,1.900463944774563,0.003060040332503238,9.979287357653602,0.028163816969273454,0.011841198145332982,0.9357068983174986,-1,0.999950344279661,0.18552630615234375,-29.24949375,-15.5959671875,-15.5952953125,0.9465,1.0,1.0,1.0,12.97155475616455,3.500920534133911
18,0.2073916742357157,-1,-15.369436490333687,1.7468353530107918,0.004458110716383336,9.907011387711865,0.031436609009564936,0.015400114706007101,0.9386089777542372,-1,0.9999337923728814,0.17316099853515626,-29.982115625,-15.890190625,-15.8920671875,0.9498,1.0,1.0,1.0,12.688136100769043,3.5842719078063965
