#['../main.py', '--dataset=mnist', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.1', '--delta=0.7', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=StrongClassificationRobustness', '--alpha=0.5', '--seed=4']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.2998197265625,0.82515595703125,-1,1.03456181640625,0.1433,0.0,-1,0.0,0.0,1.2899339199066162
1,1.0309596304166115,-1,,-1,-1,-1,-1,-1,0.7063581175723318,-1,,0.366465234375,-7.07490546875,-1,-4.3081171875,0.8975,0.9936,-1,0.9514,3.66337513923645,1.1140060424804688
2,0.3687573449086335,-1,,-1,-1,-1,-1,-1,0.8919988082627118,-1,,0.2876751220703125,-8.8101625,-1,-5.3929765625,0.916,0.9973,-1,0.9657,3.513641357421875,1.1534862518310547
3,0.3142118938898636,-1,,-1,-1,-1,-1,-1,0.9091079841225834,-1,,0.267321142578125,-9.3081375,-1,-5.482859375,0.9248,0.998,-1,0.9655,3.745107889175415,1.1904399394989014
4,0.2894200147208521,-1,,-1,-1,-1,-1,-1,0.9161480402542372,-1,,0.245396728515625,-9.6301875,-1,-5.423037109375,0.9262,0.9979,-1,0.9609,3.648831844329834,1.1939315795898438
5,0.26978243811655855,-1,,-1,-1,-1,-1,-1,0.9214888103937698,-1,,0.2242688232421875,-9.9246078125,-1,-5.344124609375,0.9327,0.9982,-1,0.955,3.60257887840271,1.1659479141235352
6,0.2564773074651169,-1,,-1,-1,-1,-1,-1,0.9252570847333488,-1,,0.2185262451171875,-9.7496046875,-1,-4.973762890625,0.9365,0.9982,-1,0.9431,3.511615037918091,1.172821044921875
7,0.24337400016138108,-1,,-1,-1,-1,-1,-1,0.9277729745638572,-1,,0.2098756103515625,-9.98628984375,-1,-4.8378203125,0.939,0.9981,-1,0.9314,3.44751238822937,1.138486385345459
8,0.23277159868660618,-1,,-1,-1,-1,-1,-1,0.9319275031655522,-1,,0.19656114501953126,-9.82934453125,-1,-4.423458203125,0.9433,0.9986,-1,0.9139,3.4581403732299805,1.0654988288879395
9,0.2209423032857604,-1,,-1,-1,-1,-1,-1,0.9360158241401284,-1,,0.1891597412109375,-9.91666953125,-1,-4.2028265625,0.9436,0.9987,-1,0.8978,3.6675610542297363,1.1457254886627197
10,0.20549732143596067,-1,,-1,-1,-1,-1,-1,0.9404076398429224,-1,,0.1734654296875,-10.13613828125,-1,-3.9944921875,0.9505,0.9986,-1,0.8748,3.480825901031494,1.1943414211273193
11,0.19125099505408336,-1,,-1,-1,-1,-1,-1,0.945064221398305,-1,,0.1560736572265625,-10.1091484375,-1,-3.64459296875,0.9547,0.9987,-1,0.8536,3.5439138412475586,1.1054444313049316
12,0.1777850167225983,-1,,-1,-1,-1,-1,-1,0.949367717161017,-1,,0.1501893310546875,-10.39358828125,-1,-3.514248046875,0.9556,0.9987,-1,0.835,3.6203413009643555,1.1579747200012207
13,0.16708760342355503,-1,,-1,-1,-1,-1,-1,0.9520105264954648,-1,,0.13830308837890626,-10.4130546875,-1,-3.2660029296875,0.9604,0.999,-1,0.8327,3.755983352661133,1.2198500633239746
14,0.154107611058122,-1,,-1,-1,-1,-1,-1,0.9551608845338984,-1,,0.12505147705078126,-10.74008515625,-1,-3.178735546875,0.9637,0.9987,-1,0.8205,3.6593613624572754,1.2604355812072754
15,0.14578778864973682,-1,,-1,-1,-1,-1,-1,0.9572629766949152,-1,,0.12065369873046874,-10.57121015625,-1,-2.8069408203125,0.9649,0.999,-1,0.7986,3.746622085571289,1.2989859580993652
16,0.13616890018269168,-1,,-1,-1,-1,-1,-1,0.9596022913011454,-1,,0.11338616943359375,-10.95844609375,-1,-2.6835134765625,0.9656,0.999,-1,0.7679,3.7911672592163086,1.2675888538360596
17,0.13118528915663896,-1,,-1,-1,-1,-1,-1,0.9616768400547868,-1,,0.10725975341796876,-11.0444734375,-1,-2.6637251953125,0.9689,0.9988,-1,0.7722,3.691956043243408,1.2584335803985596
18,0.12431398488707461,-1,,-1,-1,-1,-1,-1,0.9631996154785156,-1,,0.1043709716796875,-11.17753125,-1,-2.6579091796875,0.9691,0.9987,-1,0.7743,3.5096118450164795,1.144500970840454
19,0.11899990954641569,-1,,-1,-1,-1,-1,-1,0.9647278866525424,-1,,0.10350845947265624,-11.35010078125,-1,-2.47960390625,0.9686,0.9987,-1,0.7365,3.4637765884399414,1.140662431716919
20,0.11396766921221199,-1,,-1,-1,-1,-1,-1,0.966112751071736,-1,,0.09521627807617188,-11.616521875,-1,-2.5131484375,0.9716,0.9989,-1,0.7355,3.4573113918304443,1.138444185256958
21,0.11069063412941109,-1,,-1,-1,-1,-1,-1,0.9660796472581766,-1,,0.09384383544921875,-11.699421875,-1,-2.4721873046875,0.9718,0.999,-1,0.7322,3.4599766731262207,1.1315281391143799
22,0.10712040076821537,-1,,-1,-1,-1,-1,-1,0.967580310368942,-1,,0.09223234252929688,-11.6666625,-1,-2.193544921875,0.971,0.999,-1,0.74,3.4541680812835693,1.1365230083465576
23,0.10539276317014533,-1,,-1,-1,-1,-1,-1,0.9682368908898306,-1,,0.09068922729492188,-11.8712453125,-1,-2.3238978515625,0.9737,0.9991,-1,0.703,3.457254648208618,1.1343622207641602
24,0.10166080927444716,-1,,-1,-1,-1,-1,-1,0.9690479343220338,-1,,0.08761284790039063,-11.7889765625,-1,-2.123608984375,0.9723,0.999,-1,0.6958,3.4580986499786377,1.1402454376220703
25,0.09927360890275341,-1,,-1,-1,-1,-1,-1,0.9694286281779662,-1,,0.0841774169921875,-11.88891328125,-1,-2.0769671875,0.9741,0.9992,-1,0.6912,3.4654765129089355,1.1366190910339355
26,0.09826209989644713,-1,,-1,-1,-1,-1,-1,0.9701679682327529,-1,,0.08261121215820312,-12.0375703125,-1,-2.0904068359375,0.9744,0.9992,-1,0.6893,3.4560489654541016,1.1364142894744873
27,0.09681211083622301,-1,,-1,-1,-1,-1,-1,0.9710727626994505,-1,,0.08224697875976562,-12.155228125,-1,-2.007944921875,0.9753,0.999,-1,0.6742,3.4605629444122314,1.1386587619781494
28,0.09376490318169028,-1,,-1,-1,-1,-1,-1,0.9717127913135594,-1,,0.08330818481445312,-12.30173828125,-1,-1.98584140625,0.9746,0.9989,-1,0.6736,3.442115068435669,1.1387596130371094
29,0.09253238419354973,-1,,-1,-1,-1,-1,-1,0.9720603813559322,-1,,0.0815314208984375,-12.39286796875,-1,-2.0452064453125,0.9747,0.9989,-1,0.6876,3.4537532329559326,1.1394953727722168
30,0.09104383597939701,-1,,-1,-1,-1,-1,-1,0.9723362680208885,-1,,0.07806265869140624,-12.29559140625,-1,-1.9315791015625,0.9766,0.9992,-1,0.6824,3.4499242305755615,1.1439244747161865
31,0.0904270915661828,-1,,-1,-1,-1,-1,-1,0.9724300190553827,-1,,0.07918905639648438,-12.45435625,-1,-1.879345703125,0.9768,0.9989,-1,0.6687,3.4586479663848877,1.1396045684814453
32,0.08967950788594908,-1,,-1,-1,-1,-1,-1,0.9726948495638572,-1,,0.07726084594726562,-12.391321875,-1,-1.7960951171875,0.977,0.9989,-1,0.6627,3.4596943855285645,1.139178991317749
33,0.08747579283633475,-1,,-1,-1,-1,-1,-1,0.973881091101695,-1,,0.07765010986328125,-12.803109375,-1,-2.0297541015625,0.9773,0.9988,-1,0.6793,3.4712440967559814,1.1411418914794922
34,0.08498382568359375,-1,,-1,-1,-1,-1,-1,0.9744273040254238,-1,,0.07891500854492188,-12.8447453125,-1,-1.878733984375,0.9756,0.9991,-1,0.6662,3.4603123664855957,1.1386590003967285
35,0.08446800910820396,-1,,-1,-1,-1,-1,-1,0.9744438559322034,-1,,0.073979931640625,-12.7632734375,-1,-1.7909708984375,0.9777,0.9989,-1,0.6665,3.4672417640686035,1.1438274383544922
36,0.08695295301534361,-1,,-1,-1,-1,-1,-1,0.9735500529661016,-1,,0.07488270263671876,-12.6027453125,-1,-1.68840390625,0.9773,0.9991,-1,0.6568,3.4643213748931885,1.1384613513946533
37,0.08291031142412605,-1,,-1,-1,-1,-1,-1,0.9745376716225834,-1,,0.07460980834960937,-12.782425,-1,-1.79443125,0.9776,0.9988,-1,0.6643,3.434811592102051,1.1457881927490234
38,0.08395359071634584,-1,,-1,-1,-1,-1,-1,0.9739914586988546,-1,,0.07539075927734375,-12.842128125,-1,-1.6800251953125,0.9773,0.9988,-1,0.6455,3.4446582794189453,1.1407864093780518
39,0.08032625812595173,-1,,-1,-1,-1,-1,-1,0.9754149226819054,-1,,0.07493731689453124,-13.000040625,-1,-1.65106875,0.9773,0.9986,-1,0.648,3.449455499649048,1.1357765197753906
40,0.08102550344952082,-1,,-1,-1,-1,-1,-1,0.9755693855932204,-1,,0.073741455078125,-13.0624734375,-1,-1.68317109375,0.9775,0.999,-1,0.6549,3.649060010910034,1.336777687072754
41,0.08178463628736593,-1,,-1,-1,-1,-1,-1,0.9745817669367386,-1,,0.07315523681640625,-13.1339109375,-1,-1.698857421875,0.9771,0.999,-1,0.6558,3.7362425327301025,1.2947909832000732
42,0.08047035184957213,-1,,-1,-1,-1,-1,-1,0.9747252383474576,-1,,0.07268104248046875,-13.2811234375,-1,-1.78550234375,0.9785,0.9989,-1,0.6505,3.8477320671081543,1.2401442527770996
43,0.07977165610103285,-1,,-1,-1,-1,-1,-1,0.975834216101695,-1,,0.0740317626953125,-13.2730734375,-1,-1.6462931640625,0.978,0.9988,-1,0.6523,3.7469680309295654,1.2543654441833496
44,0.07802815356497038,-1,,-1,-1,-1,-1,-1,0.9761266546734308,-1,,0.071307421875,-13.23376875,-1,-1.6344546875,0.9783,0.999,-1,0.6448,3.699967861175537,1.2979130744934082
45,0.07782083446696653,-1,,-1,-1,-1,-1,-1,0.9762425180208885,-1,,0.07358569946289062,-13.0371359375,-1,-1.4215548828125,0.9765,0.9989,-1,0.6234,3.7213644981384277,1.2026872634887695
46,0.07702632677757133,-1,,-1,-1,-1,-1,-1,0.9755638898429224,-1,,0.07164921264648437,-13.123265625,-1,-1.4173658203125,0.9779,0.9986,-1,0.6243,3.686626672744751,1.2624812126159668
47,0.0763184498932402,-1,,-1,-1,-1,-1,-1,0.9766507552841962,-1,,0.07270322265625,-13.3912125,-1,-1.41526904296875,0.9786,0.9986,-1,0.6255,3.757014036178589,1.2559113502502441
48,0.07728554030596199,-1,,-1,-1,-1,-1,-1,0.9753266027418234,-1,,0.07321267700195312,-13.4165046875,-1,-1.5706298828125,0.9784,0.9989,-1,0.6338,3.7686896324157715,1.1932928562164307
49,0.07518405429387497,-1,,-1,-1,-1,-1,-1,0.9767997224452132,-1,,0.07055136108398438,-13.6044265625,-1,-1.53396337890625,0.9775,0.9987,-1,0.6348,3.7380998134613037,1.2383129596710205
50,0.07485421229217012,-1,,-1,-1,-1,-1,-1,0.9767445709745762,-1,,0.07498278198242188,-13.5279078125,-1,-1.4990150390625,0.9778,0.9991,-1,0.6311,3.765681266784668,1.2148761749267578
51,0.07477491184816522,-1,,-1,-1,-1,-1,-1,0.9775170148429224,-1,,0.07190264892578126,-13.4468828125,-1,-1.38668076171875,0.9773,0.9988,-1,0.6259,3.784212112426758,1.2533013820648193
52,0.07377405489905406,-1,,-1,-1,-1,-1,-1,0.9772852881480072,-1,,0.06878391723632812,-13.532925,-1,-1.305465234375,0.9796,0.9989,-1,0.6191,3.642897605895996,1.1933493614196777
53,0.07421410285820396,-1,,-1,-1,-1,-1,-1,0.9767225233174986,-1,,0.07154487915039062,-13.8919078125,-1,-1.5422833984375,0.9778,0.9991,-1,0.633,3.73371958732605,1.2138874530792236
54,0.07235696760274596,-1,,-1,-1,-1,-1,-1,0.9773238877118644,-1,,0.06997627563476562,-13.5845109375,-1,-1.31549658203125,0.9783,0.9991,-1,0.6142,3.784959316253662,1.3364381790161133
55,0.0725748336921304,-1,,-1,-1,-1,-1,-1,0.9772080243644068,-1,,0.07068767700195312,-13.70465,-1,-1.3339205078125,0.9782,0.9986,-1,0.6066,3.629269599914551,1.2151908874511719
56,0.07150461714146501,-1,,-1,-1,-1,-1,-1,0.977688029661017,-1,,0.07286366577148437,-13.8955390625,-1,-1.37475830078125,0.979,0.9987,-1,0.6173,3.762413740158081,1.3367011547088623
57,0.07033913014298779,-1,,-1,-1,-1,-1,-1,0.9775170148429224,-1,,0.06646976318359375,-13.72125,-1,-1.13189453125,0.9798,0.9991,-1,0.6043,3.4989266395568848,1.131181240081787
