#['main.py', '--data-set=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--save-onnx', '--oracle-steps=50', '--oracle-restarts=80', "--input-region=AlsomitraInputRegion(y='(2 - x, inf)')", '--output-constraint=AlsomitraOutputConstraint(e_x=(0.187, inf))', '--experiment-name=AlsomitraProperty1']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41328921914100647,0.39836129546165466,0.4978015124797821,0.007714514620602131,0.0,0.0,0.0,1.9866349697113037
1,0.2708473735385471,0.28551933500501847,0.4265686141120063,1.0,1.0,0.006173243953122033,0.0,0.0,0.17708367109298706,0.1432773321866989,0.3363262116909027,0.005049761384725571,0.0,0.0,17.7466402053833,1.9832673072814941
2,0.12298340267605251,0.05735856294631958,0.2658434708913167,1.0,1.0,0.004178007443745931,0.3767361111111111,0.0,0.10286424309015274,0.007053620181977749,0.18277205526828766,0.0038486975245177746,0.859375,0.0,17.63912343978882,1.9474809169769287
3,0.10872949494255914,0.0007005198858678341,0.12174081802368164,1.0,1.0,0.003940055353773965,0.9670138888888888,0.1892361111111111,0.09854663908481598,0.0,0.0682143121957779,0.003767059650272131,1.0,0.453125,18.706153869628906,2.3752059936523438
4,0.09757289621565077,0.0007213648512131638,0.09115959538353814,1.0,1.0,0.003734741359949112,0.96875,0.2552083333333333,0.08606776595115662,0.0016006473451852798,0.10728850960731506,0.0035204796586185694,0.96875,0.109375,21.437505960464478,2.389946699142456
5,0.08589570389853583,0.0012518574173251789,0.09433290031221178,1.0,1.0,0.003512982279062271,0.9513888888888888,0.1701388888888889,0.08000612258911133,0.0010030008852481842,0.06587440520524979,0.00339424517005682,0.96875,0.34375,21.439828395843506,2.3850486278533936
6,0.07793170213699341,0.0005386090423497888,0.049254006809658475,1.0,1.0,0.003343291166755888,0.9722222222222222,0.4583333333333333,0.06938614696264267,0.0,0.01939373090863228,0.003160952590405941,1.0,0.765625,21.445637226104736,2.3907253742218018
7,0.06839725044038561,0.000138766597956419,0.014455265469021268,1.0,1.0,0.0031347394817405278,0.9930555555555556,0.8020833333333334,0.05992301553487778,5.122506991028786e-05,0.009998094290494919,0.002937503857538104,0.984375,0.859375,21.441269397735596,2.385749101638794
8,0.06156006786558363,4.8918494333823524e-05,0.007152649263540904,1.0,1.0,0.002968698740005493,0.9982638888888888,0.9027777777777778,0.05300045385956764,0.0,0.009037630632519722,0.0027626215014606714,1.0,0.90625,21.428831100463867,2.387834310531616
9,0.05373541514078776,0.00010538204676575131,0.014842122793197632,1.0,1.0,0.0027701151039865282,0.9965277777777778,0.859375,0.04695581644773483,6.516696885228157e-05,0.020358216017484665,0.0026003168895840645,0.984375,0.8125,21.46994113922119,2.3925106525421143
