#['main.py', '--data-set=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--save-onnx', '--oracle-steps=50', '--oracle-restarts=80', "--input-region=AlsomitraInputRegion(y='(2 - x, inf)')", '--output-constraint=AlsomitraOutputConstraint(e_x=(0.187, inf))', '--logic=DL2', '--experiment-name=AlsomitraProperty1']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41328921914100647,0.39836129546165466,0.4978015124797821,0.007714514620602131,0.0,0.0,0.0,2.369629383087158
1,0.2701938947041829,0.2832651138305664,0.41745789845784503,0.9927211999893188,1.0072788000106812,0.006164650950166915,0.0,0.0,0.1739574670791626,0.134901762008667,0.311861515045166,0.005004988983273506,0.0,0.0,21.51552724838257,2.3864152431488037
2,0.12112322118547228,0.046978920698165894,0.22246678670247397,0.9844191074371338,1.0155808925628662,0.004144690103001065,0.4496527777777778,0.006944444444444444,0.10616365075111389,0.0014702025800943375,0.07715367525815964,0.003909934777766466,0.953125,0.328125,21.46883249282837,2.368234395980835
3,0.13091633054945204,1.872517168521881e-05,0.017963243855370417,0.9816662073135376,1.0183337926864624,0.004318625562720829,0.9947916666666666,0.8194444444444444,0.1199837476015091,0.0,0.0,0.004156643524765968,1.0,1.0,21.422428607940674,2.3825905323028564
4,0.11422337426079644,0.0,6.240580437911881e-05,0.9832649827003479,1.0167350769042969,0.004029066612323125,1.0,0.9965277777777778,0.08487027138471603,0.0,0.0,0.003495903220027685,1.0,1.0,21.407878637313843,2.3816092014312744
5,0.08715467982821995,4.502861864036984e-05,0.005298953089449141,0.9853116273880005,1.01468825340271,0.003537260823779636,0.9965277777777778,0.8888888888888888,0.079586923122406,0.00010311463847756386,0.012088656425476074,0.0033853412605822086,0.984375,0.765625,21.42176055908203,2.376075506210327
6,0.08070419232050578,7.915191559327973e-05,0.005513257450527615,0.9876880049705505,1.0123119354248047,0.003401131679614385,0.9930555555555556,0.8697916666666666,0.07235421240329742,0.0,0.0003316449001431465,0.0032278511207550764,1.0,0.984375,21.424973964691162,2.3734018802642822
7,0.07370073265499538,0.0,5.6531125058730446e-05,0.9896077513694763,1.0103923082351685,0.0032527463303671945,1.0,0.9947916666666666,0.06633102893829346,0.0,0.0,0.0030905799940228462,1.0,1.0,21.418123483657837,2.3699676990509033
8,0.06928771734237671,0.0,0.0,0.9910284876823425,1.0089714527130127,0.0031498616768254172,1.0,1.0,0.06124872341752052,0.0,0.0,0.00296982005238533,1.0,1.0,21.40321159362793,2.384756565093994
9,0.06227789322535197,1.3691580129994287e-05,0.00038424180820584297,0.9923903942108154,1.0076097249984741,0.0029822271317243576,0.9982638888888888,0.9878472222222222,0.056420184671878815,0.0,0.0007618390955030918,0.0028503541834652424,1.0,0.984375,21.41575026512146,2.3768863677978516
10,0.0589574310514662,0.0,0.0004964404118557771,0.9938125014305115,1.0061875581741333,0.0029084711439079708,1.0,0.9895833333333334,0.051781922578811646,0.0,0.0017490922473371029,0.0027306789997965097,1.0,0.96875,21.506829738616943,2.3741509914398193
11,0.05617769559224447,0.0,0.0011243229317996237,0.9951663613319397,1.0048335790634155,0.002835648755232493,1.0,0.9809027777777778,0.04765940457582474,0.0,0.002747010439634323,0.0026197261177003384,1.0,0.953125,21.474910974502563,2.3791325092315674
12,0.05235303441683451,0.0,0.0030796165681547588,0.9965420961380005,1.003458023071289,0.00273037598364883,1.0,0.9583333333333334,0.04462965577840805,4.643481224775314e-05,0.0020099468529224396,0.00253508985042572,0.984375,0.96875,21.41573429107666,2.3737306594848633
13,0.04897720283932156,0.0,0.002109786495566368,0.9979621767997742,1.002037763595581,0.002644923205176989,1.0,0.9670138888888888,0.042628660798072815,0.0,0.004397036042064428,0.0024776069913059473,1.0,0.9375,21.419443368911743,2.3726301193237305
14,0.04614574048254225,0.0,0.00445393431517813,0.9993897080421448,1.0006103515625,0.002576913270685408,1.0,0.9409722222222222,0.04095035791397095,0.0,0.0030732997693121433,0.0024283453822135925,1.0,0.953125,21.441317796707153,2.383431911468506
15,0.04524710443284777,0.0,0.001124751754105091,1.0009708404541016,0.9990291595458984,0.0025453617175420127,1.0,0.9809027777777778,0.039388153702020645,0.0,0.0009956094436347485,0.002381575759500265,1.0,0.984375,21.40036368370056,2.379624366760254
16,0.04329323106341892,0.0,0.003476545214653015,1.0027964115142822,0.9972036480903625,0.0024921422203381858,1.0,0.9409722222222222,0.03814464434981346,0.0,0.003439603839069605,0.0023436802439391613,1.0,0.9375,21.468623638153076,2.3910117149353027
17,0.042334679100248546,0.0,0.0009729035405649079,1.0043761730194092,0.9956238865852356,0.0024581170744366115,1.0,0.9739583333333334,0.03683195635676384,0.0,0.0017387582920491695,0.002303000073879957,1.0,0.953125,21.433616161346436,2.38055682182312
18,0.04044737418492635,0.0,0.0018843033661444981,1.005847454071045,0.9941527843475342,0.002408498070306248,1.0,0.9600694444444444,0.035281214863061905,0.0,0.0032763700000941753,0.002253997139632702,1.0,0.9375,21.408202171325684,2.378274917602539
19,0.03794980711407132,0.0,0.001242349027759499,1.0074663162231445,0.9925337433815002,0.002331476244661543,1.0,0.9722222222222222,0.03392824903130531,0.0,0.0020922753028571606,0.002210356527939439,1.0,0.953125,21.507055044174194,2.386927366256714
20,0.03930910428365072,1.398799940943718e-05,0.0010101537530620892,1.0088911056518555,0.9911088943481445,0.002371066767308447,0.9982638888888888,0.9756944444444444,0.032829709351062775,0.0,0.0036877267993986607,0.00217427802272141,1.0,0.9375,19.848222970962524,1.9583137035369873
21,0.03546669748094347,0.0,0.003163362128867043,1.0105668306350708,0.9894333481788635,0.0022538966602749294,1.0,0.9496527777777778,0.031955767422914505,0.0,0.00031921500340104103,0.002145142760127783,1.0,0.984375,17.9236159324646,1.9839701652526855
22,0.03674978680080838,0.0,0.001316650046242608,1.0120632648468018,0.9879366159439087,0.0022916864189836714,1.0,0.9704861111111112,0.03049338236451149,0.0,0.0,0.002095484174787998,1.0,1.0,17.92979097366333,2.001873254776001
23,0.034718096256256104,0.0,0.002861822230948342,1.013601303100586,0.9863985180854797,0.0022283635205692714,1.0,0.9444444444444444,0.030391989275813103,0.0,2.5657936930656433e-06,0.0020919975358992815,1.0,0.984375,20.677372932434082,2.383242607116699
24,0.03247172633806864,6.609332437316577e-05,0.002189209477769004,1.015731692314148,0.9842681288719177,0.0021542360385258994,0.9965277777777778,0.9652777777777778,0.028516456484794617,0.0,0.010405616834759712,0.002026419620960951,1.0,0.84375,21.442715883255005,2.377689838409424
25,0.03300073411729601,3.151181671354506e-06,0.0019618657728036246,1.0181101560592651,0.9818897247314453,0.0021698828786611557,0.9982638888888888,0.9635416666666666,0.02768562361598015,0.0001779617741703987,0.0033368184231221676,0.0019966813270002604,0.984375,0.921875,21.399568557739258,2.3366377353668213
