#['main.py', '--data-set=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--save-onnx', '--oracle-steps=50', '--oracle-restarts=80', "--input-region=AlsomitraInputRegion(theta='(-0.786, -0.747)', y='(-2 - x, 2 - x)')", '--output-constraint=AlsomitraOutputConstraint(e_x=(0.184, 0.19))', '--experiment-name=AlsomitraProperty2']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41328921914100647,0.16367697715759277,0.23058660328388214,0.007714514620602131,0.0,0.0,0.0,1.9795560836791992
1,0.2708473735385471,0.06999474763870239,0.15528606043921578,1.0,1.0,0.006173243953122033,0.24131944444444445,0.0,0.17708367109298706,0.000563459936529398,0.058940399438142776,0.005049761384725571,0.953125,0.046875,17.6926486492157,1.9700713157653809
2,0.12298340267605251,8.358433842658997e-05,0.009164743953280978,1.0,1.0,0.004178007443745931,0.9947916666666666,0.8263888888888888,0.10286424309015274,0.0,0.0,0.0038486975245177746,1.0,1.0,20.22740387916565,2.39538311958313
3,0.10872949494255914,0.00040853447798225615,0.051023410426245794,1.0,1.0,0.003940055353773965,0.9809027777777778,0.5434027777777778,0.09854663908481598,0.0004725782200694084,0.06813265383243561,0.003767059650272131,0.96875,0.390625,21.549628019332886,2.407245635986328
4,0.09757289621565077,4.917424586084154e-05,0.025232684281137254,1.0,1.0,0.003734741359949112,0.9947916666666666,0.7361111111111112,0.08606776595115662,0.0,0.0,0.0035204796586185694,1.0,1.0,21.641639471054077,2.410048484802246
5,0.08589570389853583,0.0,5.111212117804421e-05,1.0,1.0,0.003512982279062271,1.0,0.9982638888888888,0.08000612258911133,0.0,0.0,0.00339424517005682,1.0,1.0,21.652565717697144,2.4080376625061035
6,0.07793170213699341,0.0,4.924740642309189e-05,1.0,1.0,0.003343291166755888,1.0,0.9982638888888888,0.06938614696264267,0.0,0.000634489580988884,0.003160952590405941,1.0,0.984375,21.62859869003296,2.3958678245544434
7,0.06839725044038561,0.00014316290616989136,0.01808056566450331,1.0,1.0,0.0031347394817405278,0.9913194444444444,0.7708333333333334,0.05992301553487778,0.0,0.05514732375741005,0.002937503857538104,1.0,0.4375,21.628325700759888,2.4041085243225098
8,0.06156006786558363,0.0008387562508384386,0.08115373055140178,1.0,1.0,0.002968698740005493,0.9652777777777778,0.2864583333333333,0.05300045385956764,0.0008966699242591858,0.11292003095149994,0.0027626215014606714,0.96875,0.109375,21.631457567214966,2.411308765411377
9,0.05373541514078776,0.002452125151952108,0.13877848784128824,1.0,1.0,0.0027701151039865282,0.9184027777777778,0.06770833333333333,0.04695581644773483,0.0007526800036430359,0.17850132286548615,0.0026003168895840645,0.953125,0.0,21.62050724029541,2.4036266803741455
