#['main.py', '--data-set=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--save-onnx', '--oracle-steps=50', '--oracle-restarts=80', "--input-region=AlsomitraInputRegion(theta='(-0.786, -0.747)', y='(-2 - x, 2 - x)')", '--output-constraint=AlsomitraOutputConstraint(e_x=(0.184, 0.19))', '--logic=DL2', '--experiment-name=AlsomitraProperty2']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41328921914100647,0.16367697715759277,0.23058660328388214,0.007714514620602131,0.0,0.0,0.0,2.320622444152832
1,0.2700410683949788,0.06936540206273396,0.15071870221032035,0.9940555691719055,1.0059444904327393,0.006162654194566939,0.25,0.0,0.17393699288368225,0.0003132335841655731,0.044477950781583786,0.005004694685339928,0.96875,0.09375,21.55908989906311,2.38761830329895
2,0.12140446239047581,5.527404654357168e-05,0.0057374416953987544,0.9940683841705322,1.0059317350387573,0.004151689095629586,0.9965277777777778,0.8680555555555556,0.10325156897306442,0.0,0.0,0.0038559366948902607,1.0,1.0,21.46702218055725,2.384579658508301
3,0.10626712772581312,1.8283207383420733e-05,0.020411299334632024,0.9966854453086853,1.00331449508667,0.0038960791296429103,0.9965277777777778,0.7621527777777778,0.09643466770648956,0.0,0.0006439657881855965,0.0037264744751155376,1.0,0.984375,21.507396936416626,2.389380931854248
4,0.0970919066005283,0.0,7.753094865216149e-05,0.9995925426483154,1.0004075765609741,0.003730139798588223,1.0,0.9982638888888888,0.09429773688316345,0.0,0.0,0.0036849554162472486,1.0,1.0,21.500490188598633,2.382622480392456
5,0.09270408418443468,0.0,0.0,1.0018202066421509,0.9981799125671387,0.003650359395477507,1.0,1.0,0.08909538388252258,0.0,0.0,0.003581864759325981,1.0,1.0,21.51442790031433,2.391982316970825
6,0.08665628565682305,0.0,0.0,1.0037782192230225,0.9962219595909119,0.0035269877148999106,1.0,1.0,0.0810261070728302,0.0,0.0,0.003415812971070409,1.0,1.0,21.55431365966797,2.3868277072906494
7,0.07948613166809082,0.0,0.0,1.0055476427078247,0.9944522380828857,0.003378496401839786,1.0,1.0,0.07399477064609528,0.0,0.00028009340167045593,0.0032642402220517397,1.0,0.984375,21.542522192001343,2.394592761993408
8,0.07460104756885105,0.0,0.0,1.0069962739944458,0.993003785610199,0.0032685759166876474,1.0,1.0,0.0676620751619339,0.0,0.0004619648680090904,0.003121434710919857,1.0,0.984375,21.533749103546143,2.3918211460113525
9,0.06700420379638672,3.58766151799096e-06,0.0010192071398099263,1.0084985494613647,0.9915015697479248,0.0030958083354764515,0.9982638888888888,0.9739583333333334,0.06224489212036133,0.0,0.0012058056890964508,0.002993873553350568,1.0,0.96875,21.560205698013306,2.386488914489746
10,0.06400173902511597,0.0,0.0008654171187016699,1.01030433177948,0.9896956086158752,0.0030321238769425284,1.0,0.9774305555555556,0.05838562175631523,0.0,0.0032333368435502052,0.002899576211348176,1.0,0.921875,21.518587589263916,2.3968303203582764
11,0.06108160151375665,0.0,0.0032608177926805285,1.0122408866882324,0.9877590537071228,0.0029570236802101135,1.0,0.9253472222222222,0.055042438209056854,0.0,0.0011707320809364319,0.002815337385982275,1.0,0.96875,19.717841386795044,1.9531290531158447
12,0.05772671434614393,0.0,0.001112876149515311,1.0140143632888794,0.9859855771064758,0.002870362458957566,1.0,0.9704861111111112,0.05104726925492287,0.0,0.006444794125854969,0.002711239270865917,1.0,0.859375,17.647945404052734,1.9569776058197021
13,0.05319771501753065,0.0,0.0017216700232691234,1.0159680843353271,0.9840319156646729,0.0027586136841111714,1.0,0.9513888888888888,0.04946380853652954,0.0,0.000909007154405117,0.0026688575744628906,1.0,0.96875,17.71046257019043,1.9684033393859863
14,0.05120498935381571,0.0,0.0006318838439053959,1.0177501440048218,0.982249915599823,0.002714176351825396,1.0,0.9809027777777778,0.04621095955371857,0.0,0.004409944638609886,0.0025796100962907076,1.0,0.875,17.695911645889282,1.9634289741516113
15,0.04926352368460761,0.0,0.0021685597797234855,1.0198969841003418,0.9801030158996582,0.002657142778237661,1.0,0.9357638888888888,0.04499495029449463,0.0,3.388151526451111e-05,0.002545443596318364,1.0,0.984375,17.707998275756836,1.9709820747375488
16,0.04785508910814921,0.0,0.0006863832887676028,1.0219979286193848,0.97800213098526,0.0026213996526267794,1.0,0.9756944444444444,0.04308173805475235,0.0,0.0,0.002490738872438669,1.0,1.0,17.680372714996338,1.9651172161102295
17,0.04630020591947767,0.0,0.001613848635719882,1.023690938949585,0.9763091802597046,0.002572092538078626,1.0,0.9496527777777778,0.041143082082271576,0.0,0.0033541349694132805,0.00243405275978148,1.0,0.90625,18.103132009506226,2.401947259902954
18,0.044438468085394964,0.0,0.0008151418425970607,1.025415301322937,0.974584698677063,0.0025235385530524785,1.0,0.9722222222222222,0.04008321464061737,0.0,0.000626981258392334,0.0024024969898164272,1.0,0.984375,21.509493589401245,2.380098819732666
19,0.04186791512701246,0.0,0.0020466045373015935,1.0273833274841309,0.9726166725158691,0.002447791811492708,1.0,0.9392361111111112,0.03904349356889725,0.0,0.0009315842762589455,0.0023711330723017454,1.0,0.96875,21.453046321868896,2.385544538497925
20,0.04313881529702081,1.1836385561360254e-05,0.001855829730629921,1.0294172763824463,0.970582902431488,0.0024840074280897775,0.9982638888888888,0.9461805555555556,0.0380353145301342,0.0,0.0019507324323058128,0.002340319100767374,1.0,0.921875,21.462927103042603,2.3759875297546387
21,0.03981137606832716,0.0,0.0012593451473448011,1.0315403938293457,0.9684596657752991,0.0023892252809471553,1.0,0.9565972222222222,0.03609824180603027,0.0,0.002482254058122635,0.0022799463476985693,1.0,0.90625,20.16215205192566,1.962477207183838
22,0.04058318005667792,0.0,0.0013687026997407277,1.033449649810791,0.9665505290031433,0.00240938737988472,1.0,0.953125,0.035431668162345886,0.0,0.00016848277300596237,0.002258797874674201,1.0,0.984375,18.96822500228882,2.368311882019043
23,0.039465887678994074,0.0,0.0016077691689133644,1.0353773832321167,0.9646226763725281,0.002380611168013679,1.0,0.9444444444444444,0.03466469421982765,0.0,0.0007215673103928566,0.0022342165466398,1.0,0.96875,21.465677499771118,2.3957014083862305
24,0.03620004322793749,0.0,0.0018086276120609706,1.037650227546692,0.9623496532440186,0.002273319289088249,1.0,0.9340277777777778,0.0333438515663147,0.0,0.0034931451082229614,0.0021912376396358013,1.0,0.890625,21.44331121444702,2.377272129058838
