#['main.py', '--data-set=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--save-onnx', '--oracle-steps=50', '--oracle-restarts=80', "--input-region=AlsomitraInputRegion(theta='(-0.786, -0.747)', y='(-2 - x, 2 - x)')", '--output-constraint=AlsomitraOutputConstraint(e_x=(0.184, 0.19))', '--logic=YG', '--experiment-name=AlsomitraProperty2']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41328921914100647,0.49162399768829346,0.8566048741340637,0.007714514620602131,0.0,0.0,0.0,2.388125419616699
1,0.2709985044267442,0.18707493940989176,0.4686027103000217,0.9994959235191345,1.0005040168762207,0.006175292862786187,0.23958333333333334,0.0,0.1775183081626892,0.0010659126564860344,0.11751362681388855,0.005055954214185476,0.953125,0.046875,37.356874227523804,2.435533046722412
2,0.12432350052727593,0.00016052772601445517,0.017106773124800786,1.0032644271850586,0.9967355132102966,0.004202800492445628,0.9947916666666666,0.8350694444444444,0.10509990155696869,1.7881393432617188e-07,1.7881393432617188e-07,0.003890296909958124,1.0,1.0,37.34391260147095,2.4427733421325684
3,0.10787234041425917,2.5821953184074824e-05,0.013712040252155729,1.0055851936340332,0.9944149851799011,0.003925327625539567,0.9947916666666666,0.7552083333333334,0.10133428871631622,1.7881393432617188e-07,0.015237045474350452,0.0038199685513973236,1.0,0.734375,37.29296660423279,2.335658550262451
4,0.10118136803309123,1.7881393432617188e-07,0.004869413458638721,1.0076746940612793,0.9923253059387207,0.003805400182803472,1.0,0.8958333333333334,0.09356731176376343,1.7881393432617188e-07,1.7881393432617188e-07,0.0036706558894366026,1.0,1.0,34.67112708091736,2.4336633682250977
5,0.09386208984586927,1.7881393432617188e-07,1.7881393432617188e-07,1.0089973211288452,0.9910027384757996,0.003672796818945143,1.0,1.0,0.09169413149356842,1.7881393432617188e-07,1.7881393432617188e-07,0.003633727552369237,1.0,1.0,33.12329959869385,2.0007481575012207
6,0.09039910634358723,1.7881393432617188e-07,1.7881393432617188e-07,1.0099776983261108,0.9900223612785339,0.003603399627738529,1.0,1.0,0.08783578872680664,1.7881393432617188e-07,1.7881393432617188e-07,0.0035564552526921034,1.0,1.0,36.345346450805664,2.4354424476623535
7,0.08513047297795613,1.7881393432617188e-07,1.7881393432617188e-07,1.0109165906906128,0.9890835285186768,0.003497050868140327,1.0,1.0,0.08218909800052643,1.7881393432617188e-07,1.7881393432617188e-07,0.0034402396995574236,1.0,1.0,37.26522660255432,2.435015916824341
8,0.081208070119222,1.7881393432617188e-07,1.7881393432617188e-07,1.011691927909851,0.9883080124855042,0.0034113911290963492,1.0,1.0,0.07664487510919571,1.7881393432617188e-07,1.7881393432617188e-07,0.0033221798948943615,1.0,1.0,37.247947216033936,2.4348111152648926
9,0.07465448644426134,1.7881393432617188e-07,1.7881393432617188e-07,1.0124578475952148,0.9875422120094299,0.0032706428319215775,1.0,1.0,0.0710112527012825,1.7881393432617188e-07,1.7881393432617188e-07,0.00319775496609509,1.0,1.0,37.28769588470459,2.436755895614624
10,0.07109810246361627,1.7881393432617188e-07,0.00019344801290167702,1.0132946968078613,0.9867053031921387,0.0031944074564509923,1.0,0.9878472222222222,0.0658121407032013,1.7881393432617188e-07,0.0010551335290074348,0.003078467445448041,1.0,0.953125,37.235989809036255,2.420602321624756
11,0.06759139564302233,1.7881393432617188e-07,0.001990110096004274,1.0141382217407227,0.9858619570732117,0.003108860303958257,1.0,0.9184027777777778,0.061747726052999496,0.00014708656817674637,0.0010975552722811699,0.002981893252581358,0.984375,0.953125,37.33191776275635,2.444011688232422
12,0.06371353069941203,1.7881393432617188e-07,0.0013797940272423956,1.0149224996566772,0.9850775599479675,0.0030167464994721943,1.0,0.9461805555555556,0.05830387398600578,1.7881393432617188e-07,0.003643556497991085,0.0028975456953048706,1.0,0.890625,37.31547570228577,2.4226062297821045
13,0.05800980991787381,2.2324112554391224e-05,0.0033690788679652745,1.0157525539398193,0.9842473268508911,0.002881336957216263,0.9982638888888888,0.890625,0.055054549127817154,1.7881393432617188e-07,0.002471831627190113,0.0028156470507383347,1.0,0.90625,37.23824691772461,2.4325337409973145
14,0.055700851811303034,1.7881393432617188e-07,0.001315326222942935,1.0165280103683472,0.9834719896316528,0.002830749584568871,1.0,0.953125,0.051965322345495224,1.7881393432617188e-07,0.003245626576244831,0.002735510701313615,1.0,0.875,37.199658155441284,2.426771640777588
15,0.053487939967049494,1.7881393432617188e-07,0.0034273589650789895,1.0174106359481812,0.9825892448425293,0.0027690351837211186,1.0,0.8663194444444444,0.05014737695455551,1.7881393432617188e-07,0.0002861572429537773,0.002687235362827778,1.0,0.984375,37.227145195007324,2.426351308822632
16,0.05202138755056593,1.7881393432617188e-07,0.0006426660757925776,1.0183796882629395,0.9816203117370605,0.002733957643310229,1.0,0.9670138888888888,0.04780082404613495,1.7881393432617188e-07,0.0014154929667711258,0.0026236099656671286,1.0,0.9375,37.21431374549866,2.440402030944824
17,0.0498534275425805,1.7881393432617188e-07,0.0023198999050590727,1.0192079544067383,0.9807918667793274,0.0026710861259036595,1.0,0.9097222222222222,0.04455752670764923,1.7881393432617188e-07,0.001816646195948124,0.002533040475100279,1.0,0.921875,37.21502757072449,2.4408602714538574
18,0.04752619730101691,1.7881393432617188e-07,0.001070450060069561,1.0199910402297974,0.9800088405609131,0.002610245926512612,1.0,0.9496527777777778,0.04258266091346741,1.7881393432617188e-07,0.00032556895166635513,0.002476270077750087,1.0,0.96875,37.23972988128662,2.4126667976379395
19,0.04380619525909424,2.200611763530307e-06,0.002255609465969933,1.0209068059921265,0.979093074798584,0.002505816933181551,0.9982638888888888,0.8888888888888888,0.040276411920785904,1.7881393432617188e-07,0.0010354910045862198,0.002408280037343502,1.0,0.953125,37.28636145591736,2.432239294052124
20,0.045049948824776545,9.132342206107245e-06,0.0009083180791801877,1.0217750072479248,0.9782249331474304,0.002539196362098058,0.9982638888888888,0.9444444444444444,0.038935210555791855,1.7881393432617188e-07,0.0018035685643553734,0.002367842709645629,1.0,0.921875,31.426635026931763,1.9968376159667969
21,0.04119443893432617,1.7881393432617188e-07,0.0009483408389819993,1.0226163864135742,0.9773836135864258,0.002430331375863817,1.0,0.9479166666666666,0.037367746233940125,1.7881393432617188e-07,0.0019366685301065445,0.002319690538570285,1.0,0.921875,29.928706884384155,2.0202648639678955
22,0.041976365778181285,1.7881393432617188e-07,0.001865936236249076,1.0233323574066162,0.976667582988739,0.002450551630722152,1.0,0.9114583333333334,0.03687645494937897,1.7881393432617188e-07,0.0001759752631187439,0.0023043910041451454,1.0,0.984375,29.987876892089844,2.0178005695343018
