#['main.py', '--data-set=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--save-onnx', '--oracle-steps=50', '--oracle-restarts=80', "--input-region=AlsomitraInputRegion(v_y='(-inf, -0.3)', omega='(-inf, -0.12)', y='(-x, 2 - x)')", '--output-constraint=AlsomitraOutputConstraint(e_x=(-inf, 0.187))', '--experiment-name=AlsomitraProperty3']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41328921914100647,0.0,0.0,0.007714514620602131,1.0,1.0,0.0,2.1565535068511963
1,0.2708473735385471,0.0,0.0,1.0,1.0,0.006173243953122033,1.0,1.0,0.17708367109298706,0.0,0.0,0.005049761384725571,1.0,1.0,20.129284143447876,2.237290143966675
2,0.12298340267605251,0.008820088373290168,0.11682093143463135,1.0,1.0,0.004178007443745931,0.8315972222222222,0.3368055555555556,0.10286424309015274,0.04987804591655731,0.284955769777298,0.0038486975245177746,0.3125,0.0,20.202643632888794,2.2329726219177246
3,0.10872949494255914,0.09587917725245158,0.34627850850423175,1.0,1.0,0.003940055353773965,0.13368055555555555,0.0,0.09854663908481598,0.12489496916532516,0.373148649930954,0.003767059650272131,0.078125,0.0,20.14284873008728,2.259434700012207
4,0.09757289621565077,0.10163678063286676,0.3447444438934326,1.0,1.0,0.003734741359949112,0.11979166666666667,0.0,0.08606776595115662,0.08438202738761902,0.31006261706352234,0.0035204796586185694,0.09375,0.0,20.083724975585938,2.243814706802368
5,0.08589570389853583,0.0856656895743476,0.298614501953125,1.0,1.0,0.003512982279062271,0.16666666666666666,0.0,0.08000612258911133,0.10423889756202698,0.30772340297698975,0.00339424517005682,0.09375,0.0,20.098048448562622,2.228464126586914
6,0.07793170213699341,0.1198904381857978,0.33905665079752606,1.0,1.0,0.003343291166755888,0.0798611111111111,0.0,0.06938614696264267,0.16095668077468872,0.3896487057209015,0.003160952590405941,0.0,0.0,20.22341775894165,2.24690842628479
7,0.06839725044038561,0.1850640376408895,0.4339545038011339,1.0,1.0,0.0031347394817405278,0.020833333333333332,0.0,0.05992301553487778,0.22883035242557526,0.4905819296836853,0.002937503857538104,0.015625,0.0,20.12060260772705,2.2456068992614746
8,0.06156006786558363,0.23591936959160698,0.5206847190856934,1.0,1.0,0.002968698740005493,0.006944444444444444,0.0,0.05300045385956764,0.2694081962108612,0.5515307784080505,0.0027626215014606714,0.03125,0.0,20.1603901386261,2.245814800262451
9,0.05373541514078776,0.2658471001519097,0.5821223258972168,1.0,1.0,0.0027701151039865282,0.001736111111111111,0.0,0.04695581644773483,0.3077787756919861,0.624552845954895,0.0026003168895840645,0.0,0.0,20.124196529388428,2.2451281547546387
