#['main.py', '--data-set=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--save-onnx', '--oracle-steps=50', '--oracle-restarts=80', "--input-region=AlsomitraInputRegion(v_y='(-inf, -0.3)', omega='(-inf, -0.12)', y='(-x, 2 - x)')", '--output-constraint=AlsomitraOutputConstraint(e_x=(-inf, 0.187))', '--logic=DL2', '--experiment-name=AlsomitraProperty3']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41328921914100647,0.0,0.0,0.007714514620602131,1.0,1.0,0.0,2.3403382301330566
1,0.2708317968580458,0.0,0.0,1.0087090730667114,0.9912908673286438,0.0061730386482344735,1.0,1.0,0.17702263593673706,0.0,0.0,0.0050488910637795925,1.0,1.0,21.54962182044983,2.394402503967285
2,0.12750418980916342,0.0010160307089487712,0.07037388616138035,1.0113558769226074,0.9886441826820374,0.0042621538870864445,0.9513888888888888,0.359375,0.12487275898456573,0.0,0.07293172925710678,0.004240484442561865,1.0,0.203125,21.597842931747437,2.399137020111084
3,0.12689703040652806,0.00028865070392688114,0.014330436786015829,1.0087921619415283,0.9912078976631165,0.004266544762584899,0.9861111111111112,0.8142361111111112,0.1375001072883606,0.0,0.0,0.004449724219739437,1.0,1.0,21.56258749961853,2.398493528366089
4,0.12081034978230794,0.0,0.00367435109284189,1.0088365077972412,0.9911634922027588,0.004168518715434604,1.0,0.9236111111111112,0.11254769563674927,0.00017465930432081223,0.025733135640621185,0.004025778733193874,0.984375,0.546875,21.515756130218506,2.3929085731506348
5,0.10687494940227932,0.00016098666108316847,0.016692696346176997,1.0069459676742554,0.9930539727210999,0.003920019500785404,0.9895833333333334,0.6875,0.1106654554605484,0.0,0.0031668171286582947,0.003991973120719194,1.0,0.90625,21.54193639755249,2.395547389984131
6,0.10467306110594007,2.377118087477154e-05,0.00470854424768024,1.0048128366470337,0.9951871037483215,0.0038799593846003213,0.9965277777777778,0.8697916666666666,0.1026812270283699,5.1489099860191345e-05,0.011344889178872108,0.003845272120088339,0.984375,0.671875,21.520007610321045,2.394094467163086
7,0.0990874899758233,3.232724136776394e-05,0.005517273313469357,1.0027353763580322,0.997264564037323,0.003774279107650121,0.9947916666666666,0.8194444444444444,0.10033251345157623,0.0,0.004535039886832237,0.003801040118560195,1.0,0.828125,21.51172661781311,2.39026141166687
8,0.09598004155688816,5.23808929655287e-05,0.00468570449286037,1.0008076429367065,0.9991922974586487,0.003711612274249395,0.9930555555555556,0.8298611111111112,0.09693226218223572,4.54876571893692e-05,0.0033685415983200073,0.003736076643690467,0.984375,0.84375,21.543195009231567,2.392580509185791
9,0.09197496705585056,9.501321862141292e-05,0.003732394427061081,0.9988199472427368,1.0011800527572632,0.0036361772153112623,0.9895833333333334,0.8368055555555556,0.09275421500205994,0.0,0.004524693824350834,0.0036546720657497644,1.0,0.796875,21.57213854789734,2.3896923065185547
10,0.08973120318518744,3.2555932799975075e-05,0.002508031411303414,0.9968433976173401,1.0031566619873047,0.0035899500879976484,0.9913194444444444,0.8680555555555556,0.08976784348487854,0.0,0.0034442972391843796,0.003595356596633792,1.0,0.828125,21.563129425048828,2.3903892040252686
11,0.08793653382195367,3.026508622699314e-05,0.0035072465737660727,0.9948349595069885,1.0051651000976562,0.0035453264911969504,0.9947916666666666,0.828125,0.0876721516251564,0.0,0.003166699782013893,0.0035531409084796906,1.0,0.828125,21.531203269958496,2.3913071155548096
12,0.0856967502170139,3.098572293917338e-05,0.0031155716213915083,0.9927911162376404,1.0072088241577148,0.0035053504010041556,0.9965277777777778,0.8611111111111112,0.08193231374025345,0.0005052443593740463,0.0065456777811050415,0.003434861311689019,0.921875,0.734375,21.53052592277527,2.3933265209198
13,0.079013016488817,8.031622403197818e-05,0.0036938153207302094,0.9905672073364258,1.0094327926635742,0.0033681823147667777,0.9861111111111112,0.8298611111111112,0.08267972618341446,0.0,0.0009958995506167412,0.0034504926297813654,1.0,0.921875,21.518659830093384,2.391528844833374
14,0.07690565453635322,3.090935448805491e-05,0.0027091496934493384,0.9885330200195312,1.0114670991897583,0.0033232735262976754,0.9947916666666666,0.8559027777777778,0.07710616290569305,0.0004243571311235428,0.004574108868837357,0.003332162043079734,0.953125,0.765625,21.581011295318604,2.3884365558624268
15,0.07495048311021593,9.79009394844373e-05,0.003799241450097826,0.9864217042922974,1.0135784149169922,0.003275278541776869,0.9861111111111112,0.8177083333333334,0.07794009894132614,0.0,0.0004562279209494591,0.0033501330763101578,1.0,0.9375,21.54112195968628,2.399143695831299
16,0.07283389568328857,4.0245966778861155e-05,0.0027498569753434923,0.9840875267982483,1.015912413597107,0.0032360261927048364,0.9947916666666666,0.8559027777777778,0.07436928153038025,6.843358278274536e-06,0.003175940364599228,0.003272490343078971,0.984375,0.828125,21.414527654647827,2.3754019737243652
17,0.07073948118421766,1.2402733167012533e-05,0.0027108308341768053,0.9821341037750244,1.0178658962249756,0.003185738498965899,0.9947916666666666,0.84375,0.07161654531955719,0.00016710255295038223,0.004226171411573887,0.003211354836821556,0.984375,0.796875,21.256118535995483,2.318117141723633
18,0.0680293771955702,1.4771810836262173e-06,0.0021436711152394614,0.9799986481666565,1.0200012922286987,0.0031246251116196313,0.9982638888888888,0.8767361111111112,0.06984946131706238,0.00024925824254751205,0.004343140870332718,0.0031714881770312786,0.984375,0.8125,21.02606177330017,2.310182571411133
