#['main.py', '--data-set=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--save-onnx', '--oracle-steps=50', '--oracle-restarts=80', "--input-region=AlsomitraInputRegion(y='(-2 - x, 2 - x)')", '--output-constraint=LipschitzRobustness(L=0.3)', '--experiment-name=LipschitzRobustness']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41328921914100647,0.0,0.0,0.007714514620602131,1.0,1.0,0.0,2.325488805770874
1,0.2708473735385471,0.0,0.0,1.0,1.0,0.006173243953122033,1.0,1.0,0.17708367109298706,0.0,0.0,0.005049761384725571,1.0,1.0,21.391465187072754,2.4003541469573975
2,0.12298340267605251,0.0,0.0,1.0,1.0,0.004178007443745931,1.0,1.0,0.10286424309015274,0.0,0.0,0.0038486975245177746,1.0,1.0,23.52143883705139,2.785928964614868
3,0.10872949494255914,0.0,4.062744685345226e-05,1.0,1.0,0.003940055353773965,1.0,0.9861111111111112,0.09854663908481598,0.0,2.1337647922337055e-05,0.003767059650272131,1.0,0.96875,25.117201566696167,2.844843864440918
4,0.09757289621565077,0.0,1.0749325156211853e-05,1.0,1.0,0.003734741359949112,1.0,0.9930555555555556,0.08606776595115662,0.0,0.0,0.0035204796586185694,1.0,1.0,25.113561868667603,2.7906839847564697
5,0.08589570389853583,0.0,0.0,1.0,1.0,0.003512982279062271,1.0,1.0,0.08000612258911133,0.0,0.0,0.00339424517005682,1.0,1.0,25.100000858306885,2.77614426612854
6,0.07793170213699341,0.0,2.707586261547274e-05,1.0,1.0,0.003343291166755888,1.0,0.9965277777777778,0.06938614696264267,0.0,0.0,0.003160952590405941,1.0,1.0,25.09547257423401,2.783872365951538
7,0.06839725044038561,0.0,0.0026501967675156063,1.0,1.0,0.0031347394817405278,1.0,0.9184027777777778,0.05992301553487778,0.0,0.01156469527631998,0.002937503857538104,1.0,0.75,25.16201615333557,2.7967395782470703
8,0.06156006786558363,0.0002617778566976388,0.0356587635146247,1.0,1.0,0.002968698740005493,0.9913194444444444,0.4982638888888889,0.05300045385956764,0.0,0.06857546418905258,0.0027626215014606714,1.0,0.203125,25.142619371414185,2.7851192951202393
9,0.05373541514078776,0.002152487635612488,0.09341717428631252,1.0,1.0,0.0027701151039865282,0.9461805555555556,0.1579861111111111,0.04695581644773483,0.005478110630065203,0.12316211313009262,0.0026003168895840645,0.875,0.125,25.276688814163208,2.802713632583618
10,0.04968033896552192,0.008316183255778419,0.15231313970353869,1.0,1.0,0.0026701841917302874,0.8454861111111112,0.06597222222222222,0.042041026055812836,0.009884391911327839,0.18082073330879211,0.002460470888763666,0.828125,0.03125,25.31717824935913,2.800963878631592
11,0.04749905069669088,0.015338790085580613,0.20870074960920545,1.0,1.0,0.002608090432153808,0.78125,0.020833333333333332,0.03861621767282486,0.017264867201447487,0.22653654217720032,0.0023581229615956545,0.796875,0.0,25.51421356201172,2.821338176727295
12,0.04381212592124939,0.019630140728420682,0.2459798124101427,1.0,1.0,0.002499240967962477,0.7690972222222222,0.006944444444444444,0.03578898683190346,0.02368040755391121,0.26028648018836975,0.0022701590787619352,0.765625,0.015625,25.254109859466553,2.8169808387756348
13,0.03988257381651136,0.027380724747975666,0.2846207088894314,1.0,1.0,0.0023886538628074857,0.7447916666666666,0.0,0.03370867297053337,0.021974055096507072,0.29421043395996094,0.0022031923290342093,0.765625,0.0,25.31797695159912,2.8382487297058105
14,0.03781745831171671,0.03412395715713501,0.31857895851135254,1.0,1.0,0.0023314406474431357,0.6631944444444444,0.0,0.03153868764638901,0.03394117206335068,0.3352208137512207,0.002131097950041294,0.71875,0.0,25.30876326560974,2.8189096450805664
15,0.03599068853590223,0.0368470913834042,0.35184309217664933,1.0,1.0,0.002266345131728384,0.671875,0.0,0.029532980173826218,0.04542810469865799,0.35261812806129456,0.0020622210577130318,0.625,0.0,25.29997420310974,2.8053252696990967
16,0.034296535783343844,0.0423472887939877,0.3664104673597548,1.0,1.0,0.0022184461769130495,0.640625,0.0,0.02827724814414978,0.05734223127365112,0.3763170540332794,0.0020179024431854486,0.546875,0.0,25.034542322158813,2.301290273666382
17,0.033109416564305626,0.0478402939107683,0.3885378837585449,1.0,1.0,0.0021737528343995414,0.6579861111111112,0.0,0.026442645117640495,0.03337446227669716,0.38564881682395935,0.0019513448933139443,0.671875,0.0,21.31546378135681,2.3320438861846924
18,0.031075176265504625,0.05352888504664103,0.39827744166056317,1.0,1.0,0.0021084979590442446,0.5989583333333334,0.0,0.025486387312412262,0.043783511966466904,0.40357261896133423,0.0019157362403348088,0.578125,0.0,21.32284450531006,2.422801971435547
19,0.028756694661246404,0.055045379532708064,0.41106971104939777,1.0,1.0,0.0020225540631347233,0.6006944444444444,0.0,0.023804007098078728,0.04412790387868881,0.406563937664032,0.00185142713598907,0.65625,0.0,21.212769985198975,2.354745626449585
20,0.029484444194369845,0.06215198834737142,0.4178305466969808,1.0,1.0,0.0020520173841052586,0.5920138888888888,0.0,0.02292133867740631,0.05599638819694519,0.41034996509552,0.001816776697523892,0.640625,0.0,21.405114889144897,2.3145751953125
