#['main.py', '--data-set=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--save-onnx', '--oracle-steps=50', '--oracle-restarts=80', "--input-region=AlsomitraInputRegion(y='(-2 - x, 2 - x)')", '--output-constraint=LipschitzRobustness(L=0.3)', '--logic=DL2', '--experiment-name=LipschitzRobustness']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41328921914100647,0.0,0.0,0.007714514620602131,1.0,1.0,0.0,2.413708448410034
1,0.2708317968580458,0.0,0.0,1.0087090730667114,0.9912908673286438,0.0061730386482344735,1.0,1.0,0.17702263593673706,0.0,0.0,0.0050488910637795925,1.0,1.0,21.65824794769287,2.455699920654297
2,0.12293525536855061,0.0,0.0,1.0157164335250854,0.9842836260795593,0.0041771626306904685,1.0,1.0,0.10286818444728851,0.0,0.0,0.0038487715646624565,1.0,1.0,21.957744359970093,2.436796188354492
3,0.1087293095058865,0.0,3.9385269499487346e-05,1.0189136266708374,0.9810864329338074,0.003940023895767,1.0,0.9878472222222222,0.09834522008895874,0.0,1.519045326858759e-05,0.003763207932934165,1.0,0.984375,22.049768209457397,2.4487857818603516
4,0.09730882777108087,0.0,8.607619545525975e-06,1.0190731287002563,0.9809268116950989,0.0037298045224613613,1.0,0.9947916666666666,0.08605332672595978,0.0,0.0,0.0035201841965317726,1.0,1.0,22.06102180480957,2.466444969177246
5,0.08584022521972656,0.0,0.0,1.0205398797988892,0.9794602990150452,0.0035118961499796975,1.0,1.0,0.07989761978387833,0.0,0.0,0.003391942707821727,1.0,1.0,21.98872470855713,2.44342041015625
6,0.07779493596818712,0.0,2.8047852942513095e-05,1.022465467453003,0.9775344133377075,0.003340257538689507,1.0,0.9965277777777778,0.06914500892162323,0.0,0.0,0.003155454993247986,1.0,1.0,21.991880655288696,2.4319939613342285
7,0.06834710968865289,0.0,0.0016516751299301784,1.0229538679122925,0.9770461916923523,0.0031335469749238756,1.0,0.9357638888888888,0.060423947870731354,0.0,0.004119983874261379,0.0029497563373297453,1.0,0.890625,21.982813358306885,2.4646925926208496
8,0.0626818339029948,0.0,0.0033773858514097002,1.0214786529541016,0.978521466255188,0.002995863142940733,1.0,0.8940972222222222,0.056576766073703766,0.0,0.001650455640628934,0.0028543067164719105,1.0,0.9375,24.899508237838745,2.8229637145996094
9,0.05737680859035916,1.3755841387642755e-05,0.0018040751003556782,1.0188417434692383,0.9811583757400513,0.0028637689020898608,0.9965277777777778,0.9166666666666666,0.051429007202386856,0.0,0.0036141134332865477,0.0027213580906391144,1.0,0.84375,25.68328070640564,2.8200199604034424
10,0.054333878888024226,0.0,0.0016649729675716823,1.0156447887420654,0.9843551516532898,0.002792350947856903,1.0,0.9097222222222222,0.04739854112267494,0.0,0.0008356457110494375,0.0026125467848032713,1.0,0.9375,25.56087017059326,2.825434684753418
11,0.05249307552973429,0.0,0.0017809923738241196,1.0123368501663208,0.9876632690429688,0.002740613909231292,1.0,0.8854166666666666,0.044419169425964355,0.0,0.0007034857990220189,0.002529104705899954,1.0,0.921875,23.91682720184326,2.3189961910247803
12,0.05004380808936225,2.86784747408496e-05,0.0008682712084717221,1.0091537237167358,0.9908462762832642,0.002669675275683403,0.9965277777777778,0.9270833333333334,0.04195094853639603,0.0,0.001781301572918892,0.0024578336160629988,1.0,0.90625,22.164530754089355,2.3184919357299805
13,0.04609096050262451,2.762716677453783e-05,0.0016587288636300298,1.005928635597229,0.9940713047981262,0.00256510182387299,0.9965277777777778,0.9010416666666666,0.04027702286839485,0.0,0.0008598205167800188,0.002408298198133707,1.0,0.875,20.78036117553711,2.282031774520874
14,0.04401862621307373,0.0,0.0013450408975283306,1.0030407905578613,0.9969592094421387,0.0025173493971427283,1.0,0.9045138888888888,0.03866826370358467,0.0,0.0011868312722072005,0.002359711565077305,1.0,0.90625,21.16585350036621,2.821932077407837
15,0.04296834601296319,2.8895653991235627e-05,0.001550393592980173,1.0002198219299316,0.9997801780700684,0.002481696299380726,0.9982638888888888,0.8819444444444444,0.03765202313661575,0.0,0.0003724286798387766,0.0023284973576664925,1.0,0.9375,25.5980224609375,2.8355040550231934
16,0.041572140322791204,3.0651378134886422e-06,0.0017598656316598256,0.9970603585243225,1.0029394626617432,0.0024425366686450112,0.9982638888888888,0.8871527777777778,0.036597006022930145,0.0,0.002287262352183461,0.0022956430912017822,1.0,0.875,25.761489391326904,2.931326150894165
