#['main.py', '--data-set=mnist', '--epochs=100', '--batch-size=2048', '--lr=1e-3', '--save-imgs', '--oracle-steps=20', '--oracle-restarts=30', '--input-region=EpsilonBall(eps=0.3)', '--output-constraint=StandardRobustness(delta=0.05)', '--experiment-name=StandardRobustness']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.305227756500244,0.0,0.0,0.098388671875,1.0,1.0,0.0,22.968289375305176
1,1.0990551915662041,0.185701008500724,0.5577842449319774,1.0,1.0,0.6516870959051724,0.16918103448275862,0.08129040948275862,0.3487982451915741,0.09908433258533478,0.8927455544471741,0.8968505859375,0.328369140625,0.0,160.64029026031494,22.673575162887573
2,0.46687113005539466,0.21212687985650425,0.84701551240066,1.0,1.0,0.8580111799568966,0.1985284213362069,0.0009428879310344828,0.21827642619609833,0.10607360303401947,0.9053846597671509,0.9322509765625,0.3712158203125,0.0001220703125,160.5711953639984,22.663572072982788
3,0.3438494452114763,0.19639327608305832,0.8583662098851698,1.0,1.0,0.8970231681034483,0.2485856681034483,0.0007071659482758621,0.14896847307682037,0.07043787091970444,0.9160246253013611,0.955322265625,0.4927978515625,0.0001220703125,160.5654695034027,22.679148197174072
4,0.26710704277301656,0.16997657973190833,0.8715679563325027,1.0,1.0,0.9206795528017241,0.3151771282327586,0.0005724676724137931,0.10496902465820312,0.053234320133924484,0.9274776577949524,0.967529296875,0.612060546875,0.0001220703125,160.64021253585815,22.65719485282898
5,0.21666835916453395,0.14318064985604123,0.88832085708092,1.0,1.0,0.9368433459051724,0.3855906519396552,0.0004040948275862069,0.08389823138713837,0.03982396796345711,0.9334578514099121,0.973876953125,0.67431640625,0.0001220703125,160.6101348400116,22.675641775131226
6,0.183084093291184,0.12965025572941222,0.8986131076155037,1.0,1.0,0.9475181842672413,0.4369106950431034,0.00033674568965517244,0.06908241659402847,0.03891506418585777,0.9385438561439514,0.979248046875,0.6959228515625,0.0,160.8420169353485,22.731426000595093
7,0.16332119908826104,0.11895608901977539,0.9080856586324757,1.0,1.0,0.9527882543103449,0.47688240840517243,0.00018521012931034482,0.06194160878658295,0.034418985247612,0.9418309330940247,0.981689453125,0.7486572265625,0.0,160.78128671646118,22.664794445037842
8,0.14934566103178878,0.11335927864600873,0.9131029063257677,1.0,1.0,0.9564924568965517,0.5031148976293104,0.00025255926724137933,0.05814642459154129,0.027085069566965103,0.9431683421134949,0.982177734375,0.7860107421875,0.0,160.43618631362915,22.61160898208618
9,0.1402705455648488,0.11121698905681741,0.9161607150373787,1.0,1.0,0.9578057650862069,0.5178811961206896,0.00013469827586206896,0.05026125907897949,0.028968587517738342,0.9453622698783875,0.9840087890625,0.797607421875,0.0,160.6582510471344,22.612130641937256
